time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-10 11:00:00 UTC+0000,0.3,0.4425,0.4425,0.125
2021-02-10 15:00:00 UTC+0000,0.275,0.4125,0.4125,0.0675
2021-02-10 19:00:00 UTC+0000,0.3125,0.4325,0.4325,1.175
2021-02-10 23:00:00 UTC+0000,0.575,0.87,0.87,1.4725
2021-02-11 03:00:00 UTC+0000,0.6025,0.9125,0.9125,0.2825
2021-02-11 07:00:00 UTC+0000,0.2525,0.32,0.32,0.095
2021-02-11 11:00:00 UTC+0000,0.25,0.3,0.3,0.105
2021-02-11 15:00:00 UTC+0000,0.25,0.275,0.275,0.0625
2021-02-11 19:00:00 UTC+0000,0.265,0.3125,0.3125,0.5
2021-02-11 23:00:00 UTC+0000,0.425,0.575,0.575,0.7175
2021-02-12 03:00:00 UTC+0000,0.425,0.6025,0.6025,0.2075
2021-02-12 07:00:00 UTC+0000,0.205,0.2525,0.2525,0.075
2021-02-12 11:00:00 UTC+0000,0.1875,0.25,0.25,0.09
2021-02-12 15:00:00 UTC+0000,0.1875,0.25,0.25,0.0575
2021-02-12 19:00:00 UTC+0000,0.1825,0.265,0.265,0.35
2021-02-12 23:00:00 UTC+0000,0.4,1.0,0.425,1.0
2021-02-13 03:00:00 UTC+0000,0.415,1.4825,0.425,1.4825
2021-02-13 07:00:00 UTC+0000,0.1725,0.555,0.205,0.555
2021-02-13 11:00:00 UTC+0000,0.1725,1.25,0.1875,1.25
2021-02-13 15:00:00 UTC+0000,0.1675,1.255,0.1875,1.255
2021-02-13 19:00:00 UTC+0000,0.17,2.4975,0.1825,2.4975
2021-02-13 23:00:00 UTC+0000,0.31,22.5,0.4,22.5
2021-02-14 03:00:00 UTC+0000,0.325,30.25,0.415,30.25
2021-02-14 07:00:00 UTC+0000,0.25,5.25,0.1725,5.25
2021-02-14 11:00:00 UTC+0000,1.25,2.6875,0.1725,2.6875
2021-02-14 15:00:00 UTC+0000,0.26,1.72,0.1675,1.72
2021-02-14 19:00:00 UTC+0000,0.25,2.45,0.17,2.45
2021-02-14 23:00:00 UTC+0000,0.96,0.425,0.31,4.85
2021-02-15 03:00:00 UTC+0000,1.0325,0.425,0.325,5.04
