time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-12 23:00:00 UTC+0000,34.59,18.96,18.96,44.41
2021-01-13 00:00:00 UTC+0000,33.47,15.82,15.82,42.94
2021-01-13 01:00:00 UTC+0000,32.36,19.0,19.0,42.88
2021-01-13 02:00:00 UTC+0000,30.84,24.14,24.14,42.15
2021-01-13 03:00:00 UTC+0000,31.68,27.0,27.0,43.23
2021-01-13 04:00:00 UTC+0000,36.81,35.94,35.94,44.56
2021-01-13 05:00:00 UTC+0000,41.87,40.96,40.96,47.4
2021-01-13 06:00:00 UTC+0000,46.21,54.51,54.51,44.05
2021-01-13 07:00:00 UTC+0000,56.14,60.64,60.64,53.41
2021-01-13 08:00:00 UTC+0000,47.71,54.96,54.96,54.8
2021-01-13 09:00:00 UTC+0000,46.23,56.5,56.5,53.94
2021-01-13 10:00:00 UTC+0000,43.82,57.88,57.88,58.3
2021-01-13 11:00:00 UTC+0000,41.22,59.64,59.64,61.43
2021-01-13 12:00:00 UTC+0000,40.04,54.94,54.94,61.92
2021-01-13 13:00:00 UTC+0000,39.47,51.55,51.55,57.0
2021-01-13 14:00:00 UTC+0000,41.17,55.56,55.56,57.53
2021-01-13 15:00:00 UTC+0000,45.91,63.01,63.01,61.68
2021-01-13 16:00:00 UTC+0000,55.49,64.6,64.6,61.84
2021-01-13 17:00:00 UTC+0000,54.51,61.89,61.89,57.46
2021-01-13 18:00:00 UTC+0000,49.28,54.9,54.9,58.06
2021-01-13 19:00:00 UTC+0000,48.65,53.25,53.25,59.97
2021-01-13 20:00:00 UTC+0000,41.89,44.84,44.84,52.95
2021-01-13 21:00:00 UTC+0000,41.0,38.68,38.68,52.95
2021-01-13 22:00:00 UTC+0000,38.97,37.24,37.24,49.53
2021-01-13 23:00:00 UTC+0000,37.3,34.59,34.59,51.03
2021-01-14 00:00:00 UTC+0000,36.91,33.47,33.47,50.18
2021-01-14 01:00:00 UTC+0000,36.98,32.36,32.36,48.97
2021-01-14 02:00:00 UTC+0000,39.82,30.84,30.84,46.72
2021-01-14 03:00:00 UTC+0000,43.2,31.68,31.68,46.87
2021-01-14 04:00:00 UTC+0000,46.45,36.81,36.81,50.08
2021-01-14 05:00:00 UTC+0000,60.04,41.87,41.87,57.34
2021-01-14 06:00:00 UTC+0000,79.9,46.21,46.21,67.8
2021-01-14 07:00:00 UTC+0000,88.82,56.14,56.14,86.51
2021-01-14 08:00:00 UTC+0000,89.27,47.71,47.71,86.54
2021-01-14 09:00:00 UTC+0000,89.63,46.23,46.23,85.08
2021-01-14 10:00:00 UTC+0000,91.05,43.82,43.82,88.74
2021-01-14 11:00:00 UTC+0000,88.75,41.22,41.22,88.76
2021-01-14 12:00:00 UTC+0000,87.1,40.04,40.04,84.31
2021-01-14 13:00:00 UTC+0000,83.98,39.47,39.47,80.4
2021-01-14 14:00:00 UTC+0000,79.96,41.17,41.17,83.57
2021-01-14 15:00:00 UTC+0000,83.42,45.91,45.91,89.68
2021-01-14 16:00:00 UTC+0000,100.67,55.49,55.49,100.0
2021-01-14 17:00:00 UTC+0000,90.16,54.51,54.51,90.43
2021-01-14 18:00:00 UTC+0000,87.7,49.28,49.28,80.28
2021-01-14 19:00:00 UTC+0000,74.58,48.65,48.65,66.8
2021-01-14 20:00:00 UTC+0000,62.74,41.89,41.89,60.22
2021-01-14 21:00:00 UTC+0000,59.82,41.0,41.0,59.69
