time (UTC),aFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-02-04 23:00:00 UTC+0000,5.645
2021-02-05 03:00:00 UTC+0000,1.63
2021-02-05 07:00:00 UTC+0000,1.2
2021-02-05 11:00:00 UTC+0000,1.075
2021-02-05 15:00:00 UTC+0000,1.25
2021-02-05 19:00:00 UTC+0000,1.7775
2021-02-05 23:00:00 UTC+0000,6.125
2021-02-06 03:00:00 UTC+0000,5.1875
2021-02-06 07:00:00 UTC+0000,1.9375
2021-02-06 11:00:00 UTC+0000,2.28
2021-02-06 15:00:00 UTC+0000,2.75
2021-02-06 19:00:00 UTC+0000,5.115
2021-02-06 23:00:00 UTC+0000,30.005
2021-02-07 03:00:00 UTC+0000,40.0
2021-02-07 07:00:00 UTC+0000,7.55
2021-02-07 11:00:00 UTC+0000,4.445
2021-02-07 15:00:00 UTC+0000,3.005
2021-02-07 19:00:00 UTC+0000,4.5
2021-02-07 23:00:00 UTC+0000,13.25
2021-02-08 03:00:00 UTC+0000,15.33
2021-02-08 07:00:00 UTC+0000,3.435
2021-02-08 11:00:00 UTC+0000,2.1875
2021-02-08 15:00:00 UTC+0000,1.5
2021-02-08 19:00:00 UTC+0000,2.25
2021-02-08 23:00:00 UTC+0000,12.6
2021-02-09 03:00:00 UTC+0000,6.9075
2021-02-09 07:00:00 UTC+0000,1.7675
2021-02-09 11:00:00 UTC+0000,1.25
2021-02-09 15:00:00 UTC+0000,0.9925
2021-02-09 19:00:00 UTC+0000,1.3625
2021-02-09 23:00:00 UTC+0000,8.1675
2021-02-10 03:00:00 UTC+0000,4.3425
2021-02-10 07:00:00 UTC+0000,1.25
2021-02-10 11:00:00 UTC+0000,1.035
2021-02-10 15:00:00 UTC+0000,0.875
2021-02-10 19:00:00 UTC+0000,1.2
2021-02-10 23:00:00 UTC+0000,7.34
2021-02-11 03:00:00 UTC+0000,3.1125
2021-02-11 07:00:00 UTC+0000,0.9375
2021-02-11 11:00:00 UTC+0000,0.8275
2021-02-11 15:00:00 UTC+0000,0.7125
2021-02-11 19:00:00 UTC+0000,0.94
2021-02-11 23:00:00 UTC+0000,6.5
2021-02-12 03:00:00 UTC+0000,2.5
2021-02-12 07:00:00 UTC+0000,0.82
2021-02-12 11:00:00 UTC+0000,0.925
2021-02-12 15:00:00 UTC+0000,0.75
2021-02-12 19:00:00 UTC+0000,1.03
2021-02-12 23:00:00 UTC+0000,5.79
2021-02-13 03:00:00 UTC+0000,2.06
2021-02-13 07:00:00 UTC+0000,0.84
2021-02-13 11:00:00 UTC+0000,0.8475
2021-02-13 15:00:00 UTC+0000,0.7025
2021-02-13 19:00:00 UTC+0000,1.25
2021-02-13 23:00:00 UTC+0000,5.01
2021-02-14 03:00:00 UTC+0000,1.775
2021-02-14 07:00:00 UTC+0000,1.005
2021-02-14 11:00:00 UTC+0000,4.3
2021-02-14 15:00:00 UTC+0000,0.97
2021-02-14 19:00:00 UTC+0000,1.25
2021-02-14 23:00:00 UTC+0000,5.95
2021-02-15 03:00:00 UTC+0000,2.7475
2021-02-15 07:00:00 UTC+0000,0.9175
2021-02-15 11:00:00 UTC+0000,1.92
2021-02-15 15:00:00 UTC+0000,0.85
2021-02-15 19:00:00 UTC+0000,1.145
2021-02-15 23:00:00 UTC+0000,4.775
2021-02-16 03:00:00 UTC+0000,2.06
2021-02-16 07:00:00 UTC+0000,0.75
2021-02-16 11:00:00 UTC+0000,1.2525
2021-02-16 15:00:00 UTC+0000,0.775
2021-02-16 19:00:00 UTC+0000,1.52
2021-02-16 23:00:00 UTC+0000,8.51
2021-02-17 03:00:00 UTC+0000,6.5975
2021-02-17 07:00:00 UTC+0000,1.7
2021-02-17 11:00:00 UTC+0000,1.5
2021-02-17 15:00:00 UTC+0000,1.75
2021-02-17 19:00:00 UTC+0000,1.3675
2021-02-17 23:00:00 UTC+0000,6.985
2021-02-18 03:00:00 UTC+0000,4.1325
2021-02-18 07:00:00 UTC+0000,1.25
2021-02-18 11:00:00 UTC+0000,1.5
2021-02-18 15:00:00 UTC+0000,1.5125
2021-02-18 19:00:00 UTC+0000,3.4825
2021-02-18 23:00:00 UTC+0000,9.5525
2021-02-19 03:00:00 UTC+0000,4.695
2021-02-19 07:00:00 UTC+0000,1.1125
2021-02-19 11:00:00 UTC+0000,1.25
2021-02-19 15:00:00 UTC+0000,1.21
2021-02-19 19:00:00 UTC+0000,1.875
2021-02-19 23:00:00 UTC+0000,6.0
2021-02-20 03:00:00 UTC+0000,3.94
2021-02-20 07:00:00 UTC+0000,1.5
2021-02-20 11:00:00 UTC+0000,5.0
2021-02-20 15:00:00 UTC+0000,1.4025
2021-02-20 19:00:00 UTC+0000,4.265
2021-02-20 23:00:00 UTC+0000,19.25
2021-02-21 03:00:00 UTC+0000,19.5
2021-02-21 07:00:00 UTC+0000,5.13
2021-02-21 11:00:00 UTC+0000,5.87
2021-02-21 15:00:00 UTC+0000,1.53
2021-02-21 19:00:00 UTC+0000,2.78
2021-02-21 23:00:00 UTC+0000,13.75
2021-02-22 03:00:00 UTC+0000,6.6175
2021-02-22 07:00:00 UTC+0000,2.345
2021-02-22 11:00:00 UTC+0000,2.9775
2021-02-22 15:00:00 UTC+0000,0.8775
2021-02-22 19:00:00 UTC+0000,1.5575
2021-02-22 23:00:00 UTC+0000,8.5
2021-02-23 03:00:00 UTC+0000,4.3
2021-02-23 07:00:00 UTC+0000,1.6875
2021-02-23 11:00:00 UTC+0000,2.585
2021-02-23 15:00:00 UTC+0000,0.7175
2021-02-23 19:00:00 UTC+0000,1.415
2021-02-23 23:00:00 UTC+0000,7.79
2021-02-24 03:00:00 UTC+0000,4.3
2021-02-24 07:00:00 UTC+0000,2.36
2021-02-24 11:00:00 UTC+0000,8.78
2021-02-24 15:00:00 UTC+0000,0.955
2021-02-24 19:00:00 UTC+0000,1.51
2021-02-24 23:00:00 UTC+0000,9.4275
2021-02-25 03:00:00 UTC+0000,4.3175
2021-02-25 07:00:00 UTC+0000,1.6525
2021-02-25 11:00:00 UTC+0000,5.25
2021-02-25 15:00:00 UTC+0000,0.75
2021-02-25 19:00:00 UTC+0000,1.25
2021-02-25 23:00:00 UTC+0000,6.7525
2021-02-26 03:00:00 UTC+0000,3.4825
2021-02-26 07:00:00 UTC+0000,1.25
2021-02-26 11:00:00 UTC+0000,3.76
2021-02-26 15:00:00 UTC+0000,0.75
2021-02-26 19:00:00 UTC+0000,1.2
2021-02-26 23:00:00 UTC+0000,5.85
2021-02-27 03:00:00 UTC+0000,2.99
2021-02-27 07:00:00 UTC+0000,1.11
2021-02-27 11:00:00 UTC+0000,4.545
2021-02-27 15:00:00 UTC+0000,0.7175
2021-02-27 19:00:00 UTC+0000,1.815
2021-02-27 23:00:00 UTC+0000,7.25
2021-02-28 03:00:00 UTC+0000,4.945
2021-02-28 07:00:00 UTC+0000,2.5
2021-02-28 11:00:00 UTC+0000,6.1425
2021-02-28 15:00:00 UTC+0000,1.1125
2021-02-28 19:00:00 UTC+0000,1.365
2021-02-28 23:00:00 UTC+0000,7.17
2021-03-01 03:00:00 UTC+0000,3.3325
2021-03-01 07:00:00 UTC+0000,1.7275
2021-03-01 11:00:00 UTC+0000,2.75
2021-03-01 15:00:00 UTC+0000,0.8
2021-03-01 19:00:00 UTC+0000,1.22
2021-03-01 23:00:00 UTC+0000,5.505
2021-03-02 03:00:00 UTC+0000,2.625
2021-03-02 07:00:00 UTC+0000,1.3
2021-03-02 11:00:00 UTC+0000,3.005
2021-03-02 15:00:00 UTC+0000,0.71
2021-03-02 19:00:00 UTC+0000,1.035
2021-03-02 23:00:00 UTC+0000,4.5525
2021-03-03 03:00:00 UTC+0000,2.0675
2021-03-03 07:00:00 UTC+0000,0.975
2021-03-03 11:00:00 UTC+0000,2.6475
2021-03-03 15:00:00 UTC+0000,0.565
2021-03-03 19:00:00 UTC+0000,0.935
2021-03-03 23:00:00 UTC+0000,4.435
2021-03-04 03:00:00 UTC+0000,1.98
2021-03-04 07:00:00 UTC+0000,0.8225
2021-03-04 11:00:00 UTC+0000,2.0
2021-03-04 15:00:00 UTC+0000,0.525
2021-03-04 19:00:00 UTC+0000,0.83
2021-03-04 23:00:00 UTC+0000,4.0
2021-03-05 03:00:00 UTC+0000,2.0
2021-03-05 07:00:00 UTC+0000,0.8075
2021-03-05 11:00:00 UTC+0000,1.875
2021-03-05 15:00:00 UTC+0000,0.5125
2021-03-05 19:00:00 UTC+0000,0.69
2021-03-05 23:00:00 UTC+0000,3.88
2021-03-06 03:00:00 UTC+0000,1.8725
2021-03-06 07:00:00 UTC+0000,1.35
2021-03-06 11:00:00 UTC+0000,5.355
2021-03-06 15:00:00 UTC+0000,1.1125
2021-03-06 19:00:00 UTC+0000,1.07
2021-03-06 23:00:00 UTC+0000,4.25
2021-03-07 03:00:00 UTC+0000,2.5025
2021-03-07 07:00:00 UTC+0000,2.38
2021-03-07 11:00:00 UTC+0000,5.71
