time (UTC),aFRR-_capacity_marginal_price[(EUR/MW)/h]
2022-11-02 23:00:00 UTC+0000,29.0
2022-11-03 03:00:00 UTC+0000,25.0
2022-11-03 07:00:00 UTC+0000,17.9
2022-11-03 11:00:00 UTC+0000,26.44
2022-11-03 15:00:00 UTC+0000,7.39
2022-11-03 19:00:00 UTC+0000,8.57
2022-11-03 23:00:00 UTC+0000,21.7
2022-11-04 03:00:00 UTC+0000,17.39
2022-11-04 07:00:00 UTC+0000,11.77
2022-11-04 11:00:00 UTC+0000,15.01
2022-11-04 15:00:00 UTC+0000,5.35
2022-11-04 19:00:00 UTC+0000,6.74
2022-11-04 23:00:00 UTC+0000,16.62
2022-11-05 03:00:00 UTC+0000,13.45
2022-11-05 07:00:00 UTC+0000,9.94
2022-11-05 11:00:00 UTC+0000,18.12
2022-11-05 15:00:00 UTC+0000,5.0
2022-11-05 19:00:00 UTC+0000,7.49
2022-11-05 23:00:00 UTC+0000,27.45
2022-11-06 03:00:00 UTC+0000,33.89
2022-11-06 07:00:00 UTC+0000,26.84
2022-11-06 11:00:00 UTC+0000,34.42
2022-11-06 15:00:00 UTC+0000,12.0
2022-11-06 19:00:00 UTC+0000,15.4
2022-11-06 23:00:00 UTC+0000,78.12
2022-11-07 03:00:00 UTC+0000,33.04
2022-11-07 07:00:00 UTC+0000,14.36
2022-11-07 11:00:00 UTC+0000,19.28
2022-11-07 15:00:00 UTC+0000,8.03
2022-11-07 19:00:00 UTC+0000,11.02
2022-11-07 23:00:00 UTC+0000,52.24
2022-11-08 03:00:00 UTC+0000,27.97
2022-11-08 07:00:00 UTC+0000,10.66
2022-11-08 11:00:00 UTC+0000,12.91
2022-11-08 15:00:00 UTC+0000,5.94
2022-11-08 19:00:00 UTC+0000,19.51
2022-11-08 23:00:00 UTC+0000,49.0
2022-11-09 03:00:00 UTC+0000,21.6
2022-11-09 07:00:00 UTC+0000,7.74
2022-11-09 11:00:00 UTC+0000,9.24
2022-11-09 15:00:00 UTC+0000,4.4
2022-11-09 19:00:00 UTC+0000,9.82
2022-11-09 23:00:00 UTC+0000,38.83
2022-11-10 03:00:00 UTC+0000,16.5
2022-11-10 07:00:00 UTC+0000,5.72
2022-11-10 11:00:00 UTC+0000,8.0
2022-11-10 15:00:00 UTC+0000,3.21
2022-11-10 19:00:00 UTC+0000,8.53
2022-11-10 23:00:00 UTC+0000,27.65
2022-11-11 03:00:00 UTC+0000,13.4
2022-11-11 07:00:00 UTC+0000,4.34
2022-11-11 11:00:00 UTC+0000,6.53
2022-11-11 15:00:00 UTC+0000,2.28
2022-11-11 19:00:00 UTC+0000,6.11
2022-11-11 23:00:00 UTC+0000,21.88
2022-11-12 03:00:00 UTC+0000,11.09
2022-11-12 07:00:00 UTC+0000,5.5
2022-11-12 11:00:00 UTC+0000,9.46
2022-11-12 15:00:00 UTC+0000,2.5
2022-11-12 19:00:00 UTC+0000,4.37
2022-11-12 23:00:00 UTC+0000,19.0
2022-11-13 03:00:00 UTC+0000,10.48
2022-11-13 07:00:00 UTC+0000,12.35
2022-11-13 11:00:00 UTC+0000,15.4
2022-11-13 15:00:00 UTC+0000,5.46
2022-11-13 19:00:00 UTC+0000,6.59
2022-11-13 23:00:00 UTC+0000,29.73
2022-11-14 03:00:00 UTC+0000,23.0
2022-11-14 07:00:00 UTC+0000,7.51
2022-11-14 11:00:00 UTC+0000,9.02
2022-11-14 15:00:00 UTC+0000,3.21
2022-11-14 19:00:00 UTC+0000,5.42
2022-11-14 23:00:00 UTC+0000,22.8
2022-11-15 03:00:00 UTC+0000,13.31
2022-11-15 07:00:00 UTC+0000,5.4
2022-11-15 11:00:00 UTC+0000,6.49
2022-11-15 15:00:00 UTC+0000,2.48
2022-11-15 19:00:00 UTC+0000,5.91
2022-11-15 23:00:00 UTC+0000,28.28
2022-11-16 03:00:00 UTC+0000,16.32
2022-11-16 07:00:00 UTC+0000,4.62
2022-11-16 11:00:00 UTC+0000,5.7
2022-11-16 15:00:00 UTC+0000,2.08
2022-11-16 19:00:00 UTC+0000,6.23
2022-11-16 23:00:00 UTC+0000,45.03
2022-11-17 03:00:00 UTC+0000,37.69
2022-11-17 07:00:00 UTC+0000,12.18
2022-11-17 11:00:00 UTC+0000,20.71
2022-11-17 15:00:00 UTC+0000,4.72
2022-11-17 19:00:00 UTC+0000,9.02
2022-11-17 23:00:00 UTC+0000,31.85
2022-11-18 03:00:00 UTC+0000,21.64
2022-11-18 07:00:00 UTC+0000,6.46
2022-11-18 11:00:00 UTC+0000,9.65
2022-11-18 15:00:00 UTC+0000,2.67
2022-11-18 19:00:00 UTC+0000,6.21
2022-11-18 23:00:00 UTC+0000,27.73
2022-11-19 03:00:00 UTC+0000,17.5
2022-11-19 07:00:00 UTC+0000,5.02
2022-11-19 11:00:00 UTC+0000,7.99
2022-11-19 15:00:00 UTC+0000,2.14
2022-11-19 19:00:00 UTC+0000,4.29
2022-11-19 23:00:00 UTC+0000,21.69
2022-11-20 03:00:00 UTC+0000,14.05
2022-11-20 07:00:00 UTC+0000,5.85
2022-11-20 11:00:00 UTC+0000,8.38
2022-11-20 15:00:00 UTC+0000,2.42
2022-11-20 19:00:00 UTC+0000,4.7
2022-11-20 23:00:00 UTC+0000,27.54
2022-11-21 03:00:00 UTC+0000,15.95
2022-11-21 07:00:00 UTC+0000,4.99
2022-11-21 11:00:00 UTC+0000,7.0
2022-11-21 15:00:00 UTC+0000,3.4
2022-11-21 19:00:00 UTC+0000,8.2
2022-11-21 23:00:00 UTC+0000,69.95
2022-11-22 03:00:00 UTC+0000,29.73
2022-11-22 07:00:00 UTC+0000,4.69
2022-11-22 11:00:00 UTC+0000,5.8
2022-11-22 15:00:00 UTC+0000,2.36
2022-11-22 19:00:00 UTC+0000,6.33
2022-11-22 23:00:00 UTC+0000,42.2
2022-11-23 03:00:00 UTC+0000,18.0
2022-11-23 07:00:00 UTC+0000,4.0
2022-11-23 11:00:00 UTC+0000,4.84
2022-11-23 15:00:00 UTC+0000,2.34
2022-11-23 19:00:00 UTC+0000,14.14
2022-11-23 23:00:00 UTC+0000,56.12
2022-11-24 03:00:00 UTC+0000,33.61
2022-11-24 07:00:00 UTC+0000,3.93
2022-11-24 11:00:00 UTC+0000,3.84
2022-11-24 15:00:00 UTC+0000,2.09
2022-11-24 19:00:00 UTC+0000,8.46
2022-11-24 23:00:00 UTC+0000,43.33
2022-11-25 03:00:00 UTC+0000,33.88
2022-11-25 07:00:00 UTC+0000,3.4
2022-11-25 11:00:00 UTC+0000,3.44
2022-11-25 15:00:00 UTC+0000,1.99
2022-11-25 19:00:00 UTC+0000,7.44
2022-11-25 23:00:00 UTC+0000,31.02
2022-11-26 03:00:00 UTC+0000,20.64
2022-11-26 07:00:00 UTC+0000,4.24
2022-11-26 11:00:00 UTC+0000,6.53
2022-11-26 15:00:00 UTC+0000,2.11
2022-11-26 19:00:00 UTC+0000,7.19
2022-11-26 23:00:00 UTC+0000,29.15
2022-11-27 03:00:00 UTC+0000,35.3
2022-11-27 07:00:00 UTC+0000,17.7
2022-11-27 11:00:00 UTC+0000,16.76
2022-11-27 15:00:00 UTC+0000,11.6
2022-11-27 19:00:00 UTC+0000,6.7
2022-11-27 23:00:00 UTC+0000,30.9
2022-11-28 03:00:00 UTC+0000,50.02
2022-11-28 07:00:00 UTC+0000,6.86
2022-11-28 11:00:00 UTC+0000,6.97
2022-11-28 15:00:00 UTC+0000,5.0
2022-11-28 19:00:00 UTC+0000,6.93
2022-11-28 23:00:00 UTC+0000,33.65
2022-11-29 03:00:00 UTC+0000,29.71
2022-11-29 07:00:00 UTC+0000,4.9
2022-11-29 11:00:00 UTC+0000,5.32
2022-11-29 15:00:00 UTC+0000,3.0
2022-11-29 19:00:00 UTC+0000,5.39
2022-11-29 23:00:00 UTC+0000,28.26
2022-11-30 03:00:00 UTC+0000,22.48
2022-11-30 07:00:00 UTC+0000,3.63
2022-11-30 11:00:00 UTC+0000,4.05
2022-11-30 15:00:00 UTC+0000,1.99
2022-11-30 19:00:00 UTC+0000,4.13
2022-11-30 23:00:00 UTC+0000,24.59
2022-12-01 03:00:00 UTC+0000,21.45
2022-12-01 07:00:00 UTC+0000,2.98
2022-12-01 11:00:00 UTC+0000,3.25
2022-12-01 15:00:00 UTC+0000,1.59
2022-12-01 19:00:00 UTC+0000,3.51
2022-12-01 23:00:00 UTC+0000,21.55
2022-12-02 03:00:00 UTC+0000,19.23
2022-12-02 07:00:00 UTC+0000,2.48
2022-12-02 11:00:00 UTC+0000,2.79
2022-12-02 15:00:00 UTC+0000,1.71
2022-12-02 19:00:00 UTC+0000,3.75
2022-12-02 23:00:00 UTC+0000,19.8
2022-12-03 03:00:00 UTC+0000,17.17
2022-12-03 07:00:00 UTC+0000,4.58
2022-12-03 11:00:00 UTC+0000,5.81
2022-12-03 15:00:00 UTC+0000,3.28
2022-12-03 19:00:00 UTC+0000,4.29
2022-12-03 23:00:00 UTC+0000,19.8
2022-12-04 03:00:00 UTC+0000,16.86
2022-12-04 07:00:00 UTC+0000,9.92
2022-12-04 11:00:00 UTC+0000,8.76
2022-12-04 15:00:00 UTC+0000,5.4
2022-12-04 19:00:00 UTC+0000,4.12
2022-12-04 23:00:00 UTC+0000,36.98
2022-12-05 03:00:00 UTC+0000,34.44
2022-12-05 07:00:00 UTC+0000,4.58
2022-12-05 11:00:00 UTC+0000,4.7
2022-12-05 15:00:00 UTC+0000,2.98
2022-12-05 19:00:00 UTC+0000,3.7
2022-12-05 23:00:00 UTC+0000,25.78
2022-12-06 03:00:00 UTC+0000,21.12
2022-12-06 07:00:00 UTC+0000,3.87
2022-12-06 11:00:00 UTC+0000,4.66
2022-12-06 15:00:00 UTC+0000,2.46
2022-12-06 19:00:00 UTC+0000,4.05
2022-12-06 23:00:00 UTC+0000,34.6
2022-12-07 03:00:00 UTC+0000,30.9
2022-12-07 07:00:00 UTC+0000,4.29
2022-12-07 11:00:00 UTC+0000,5.71
2022-12-07 15:00:00 UTC+0000,2.16
2022-12-07 19:00:00 UTC+0000,3.3
2022-12-07 23:00:00 UTC+0000,24.54
2022-12-08 03:00:00 UTC+0000,20.09
2022-12-08 07:00:00 UTC+0000,3.41
2022-12-08 11:00:00 UTC+0000,3.75
2022-12-08 15:00:00 UTC+0000,1.83
2022-12-08 19:00:00 UTC+0000,2.9
2022-12-08 23:00:00 UTC+0000,21.25
2022-12-09 03:00:00 UTC+0000,18.74
2022-12-09 07:00:00 UTC+0000,2.5
2022-12-09 11:00:00 UTC+0000,2.97
2022-12-09 15:00:00 UTC+0000,1.4
2022-12-09 19:00:00 UTC+0000,2.62
2022-12-09 23:00:00 UTC+0000,16.37
2022-12-10 03:00:00 UTC+0000,14.8
2022-12-10 07:00:00 UTC+0000,3.15
2022-12-10 11:00:00 UTC+0000,3.51
2022-12-10 15:00:00 UTC+0000,1.69
2022-12-10 19:00:00 UTC+0000,2.53
2022-12-10 23:00:00 UTC+0000,16.37
2022-12-11 03:00:00 UTC+0000,18.36
2022-12-11 07:00:00 UTC+0000,6.87
2022-12-11 11:00:00 UTC+0000,4.91
2022-12-11 15:00:00 UTC+0000,1.82
2022-12-11 19:00:00 UTC+0000,4.01
2022-12-11 23:00:00 UTC+0000,22.99
2022-12-12 03:00:00 UTC+0000,28.31
2022-12-12 07:00:00 UTC+0000,3.56
2022-12-12 11:00:00 UTC+0000,3.46
2022-12-12 15:00:00 UTC+0000,1.84
2022-12-12 19:00:00 UTC+0000,3.56
2022-12-12 23:00:00 UTC+0000,23.59
2022-12-13 03:00:00 UTC+0000,20.0
2022-12-13 07:00:00 UTC+0000,3.09
2022-12-13 11:00:00 UTC+0000,3.2
2022-12-13 15:00:00 UTC+0000,1.4
2022-12-13 19:00:00 UTC+0000,3.88
2022-12-13 23:00:00 UTC+0000,25.39
2022-12-14 03:00:00 UTC+0000,28.26
2022-12-14 07:00:00 UTC+0000,2.46
2022-12-14 11:00:00 UTC+0000,2.55
2022-12-14 15:00:00 UTC+0000,1.15
2022-12-14 19:00:00 UTC+0000,4.41
2022-12-14 23:00:00 UTC+0000,30.29
2022-12-15 03:00:00 UTC+0000,27.85
2022-12-15 07:00:00 UTC+0000,3.04
2022-12-15 11:00:00 UTC+0000,3.21
2022-12-15 15:00:00 UTC+0000,1.25
2022-12-15 19:00:00 UTC+0000,3.71
2022-12-15 23:00:00 UTC+0000,39.95
2022-12-16 03:00:00 UTC+0000,24.5
2022-12-16 07:00:00 UTC+0000,2.28
2022-12-16 11:00:00 UTC+0000,2.42
2022-12-16 15:00:00 UTC+0000,1.19
2022-12-16 19:00:00 UTC+0000,3.24
2022-12-16 23:00:00 UTC+0000,23.0
2022-12-17 03:00:00 UTC+0000,18.8
2022-12-17 07:00:00 UTC+0000,3.04
2022-12-17 11:00:00 UTC+0000,4.45
2022-12-17 15:00:00 UTC+0000,2.4
2022-12-17 19:00:00 UTC+0000,5.04
2022-12-17 23:00:00 UTC+0000,20.6
2022-12-18 03:00:00 UTC+0000,21.69
2022-12-18 07:00:00 UTC+0000,7.14
2022-12-18 11:00:00 UTC+0000,8.01
2022-12-18 15:00:00 UTC+0000,3.72
2022-12-18 19:00:00 UTC+0000,10.18
2022-12-18 23:00:00 UTC+0000,56.14
2022-12-19 03:00:00 UTC+0000,44.16
2022-12-19 07:00:00 UTC+0000,8.27
2022-12-19 11:00:00 UTC+0000,7.64
2022-12-19 15:00:00 UTC+0000,3.71
2022-12-19 19:00:00 UTC+0000,45.82
2022-12-19 23:00:00 UTC+0000,58.32
2022-12-20 03:00:00 UTC+0000,38.86
2022-12-20 07:00:00 UTC+0000,7.12
2022-12-20 11:00:00 UTC+0000,6.87
2022-12-20 15:00:00 UTC+0000,2.75
2022-12-20 19:00:00 UTC+0000,19.56
2022-12-20 23:00:00 UTC+0000,33.0
2022-12-21 03:00:00 UTC+0000,26.83
2022-12-21 07:00:00 UTC+0000,5.8
2022-12-21 11:00:00 UTC+0000,5.65
2022-12-21 15:00:00 UTC+0000,2.4
2022-12-21 19:00:00 UTC+0000,15.59
2022-12-21 23:00:00 UTC+0000,34.13
2022-12-22 03:00:00 UTC+0000,25.49
2022-12-22 07:00:00 UTC+0000,5.33
2022-12-22 11:00:00 UTC+0000,5.58
2022-12-22 15:00:00 UTC+0000,2.42
2022-12-22 19:00:00 UTC+0000,12.5
2022-12-22 23:00:00 UTC+0000,27.61
2022-12-23 03:00:00 UTC+0000,22.58
2022-12-23 07:00:00 UTC+0000,4.58
2022-12-23 11:00:00 UTC+0000,4.56
2022-12-23 15:00:00 UTC+0000,2.18
2022-12-23 19:00:00 UTC+0000,10.93
2022-12-23 23:00:00 UTC+0000,41.92
2022-12-24 03:00:00 UTC+0000,48.84
2022-12-24 07:00:00 UTC+0000,13.11
2022-12-24 11:00:00 UTC+0000,9.78
2022-12-24 15:00:00 UTC+0000,3.34
2022-12-24 19:00:00 UTC+0000,10.46
2022-12-24 23:00:00 UTC+0000,32.0
2022-12-25 03:00:00 UTC+0000,34.24
2022-12-25 07:00:00 UTC+0000,9.92
2022-12-25 11:00:00 UTC+0000,7.77
2022-12-25 15:00:00 UTC+0000,3.8
2022-12-25 19:00:00 UTC+0000,12.58
2022-12-25 23:00:00 UTC+0000,40.07
2022-12-26 03:00:00 UTC+0000,41.84
2022-12-26 07:00:00 UTC+0000,12.99
2022-12-26 11:00:00 UTC+0000,16.46
2022-12-26 15:00:00 UTC+0000,13.63
2022-12-26 19:00:00 UTC+0000,22.36
2022-12-26 23:00:00 UTC+0000,41.31
2022-12-27 03:00:00 UTC+0000,38.93
2022-12-27 07:00:00 UTC+0000,9.96
2022-12-27 11:00:00 UTC+0000,9.46
2022-12-27 15:00:00 UTC+0000,6.45
2022-12-27 19:00:00 UTC+0000,14.07
2022-12-27 23:00:00 UTC+0000,42.0
2022-12-28 03:00:00 UTC+0000,60.74
2022-12-28 07:00:00 UTC+0000,8.93
2022-12-28 11:00:00 UTC+0000,8.58
2022-12-28 15:00:00 UTC+0000,5.11
2022-12-28 19:00:00 UTC+0000,16.1
2022-12-28 23:00:00 UTC+0000,52.02
2022-12-29 03:00:00 UTC+0000,50.16
2022-12-29 07:00:00 UTC+0000,10.35
2022-12-29 11:00:00 UTC+0000,9.44
2022-12-29 15:00:00 UTC+0000,4.53
2022-12-29 19:00:00 UTC+0000,14.15
2022-12-29 23:00:00 UTC+0000,34.9
2022-12-30 03:00:00 UTC+0000,36.68
2022-12-30 07:00:00 UTC+0000,9.99
2022-12-30 11:00:00 UTC+0000,9.33
2022-12-30 15:00:00 UTC+0000,22.93
2022-12-30 19:00:00 UTC+0000,22.2
2022-12-30 23:00:00 UTC+0000,35.46
2022-12-31 03:00:00 UTC+0000,34.67
2022-12-31 07:00:00 UTC+0000,14.71
2022-12-31 11:00:00 UTC+0000,15.4
2022-12-31 15:00:00 UTC+0000,15.0
2022-12-31 19:00:00 UTC+0000,17.16
2022-12-31 23:00:00 UTC+0000,37.78
2023-01-01 03:00:00 UTC+0000,33.64
2023-01-01 07:00:00 UTC+0000,17.25
2023-01-01 11:00:00 UTC+0000,13.88
2023-01-01 15:00:00 UTC+0000,12.5
2023-01-01 19:00:00 UTC+0000,14.05
2023-01-01 23:00:00 UTC+0000,31.49
2023-01-02 03:00:00 UTC+0000,36.0
2023-01-02 07:00:00 UTC+0000,10.67
2023-01-02 11:00:00 UTC+0000,9.5
2023-01-02 15:00:00 UTC+0000,7.87
2023-01-02 19:00:00 UTC+0000,11.59
2023-01-02 23:00:00 UTC+0000,26.4
2023-01-03 03:00:00 UTC+0000,33.24
2023-01-03 07:00:00 UTC+0000,7.94
2023-01-03 11:00:00 UTC+0000,8.43
2023-01-03 15:00:00 UTC+0000,7.29
2023-01-03 19:00:00 UTC+0000,10.66
2023-01-03 23:00:00 UTC+0000,35.96
2023-01-04 03:00:00 UTC+0000,53.5
2023-01-04 07:00:00 UTC+0000,9.68
2023-01-04 11:00:00 UTC+0000,9.2
2023-01-04 15:00:00 UTC+0000,7.83
2023-01-04 19:00:00 UTC+0000,12.49
2023-01-04 23:00:00 UTC+0000,42.41
2023-01-05 03:00:00 UTC+0000,48.91
2023-01-05 07:00:00 UTC+0000,10.0
2023-01-05 11:00:00 UTC+0000,7.38
2023-01-05 15:00:00 UTC+0000,5.9
2023-01-05 19:00:00 UTC+0000,9.83
2023-01-05 23:00:00 UTC+0000,25.06
2023-01-06 03:00:00 UTC+0000,29.71
2023-01-06 07:00:00 UTC+0000,7.34
2023-01-06 11:00:00 UTC+0000,6.7
2023-01-06 15:00:00 UTC+0000,4.99
2023-01-06 19:00:00 UTC+0000,7.97
2023-01-06 23:00:00 UTC+0000,19.2
2023-01-07 03:00:00 UTC+0000,21.51
2023-01-07 07:00:00 UTC+0000,6.12
2023-01-07 11:00:00 UTC+0000,5.98
2023-01-07 15:00:00 UTC+0000,4.82
2023-01-07 19:00:00 UTC+0000,11.86
2023-01-07 23:00:00 UTC+0000,27.18
2023-01-08 03:00:00 UTC+0000,27.01
2023-01-08 07:00:00 UTC+0000,8.27
2023-01-08 11:00:00 UTC+0000,6.0
2023-01-08 15:00:00 UTC+0000,4.79
2023-01-08 19:00:00 UTC+0000,8.08
2023-01-08 23:00:00 UTC+0000,30.7
2023-01-09 03:00:00 UTC+0000,32.52
2023-01-09 07:00:00 UTC+0000,6.73
2023-01-09 11:00:00 UTC+0000,5.04
2023-01-09 15:00:00 UTC+0000,4.19
2023-01-09 19:00:00 UTC+0000,7.19
2023-01-09 23:00:00 UTC+0000,22.92
2023-01-10 03:00:00 UTC+0000,21.65
2023-01-10 07:00:00 UTC+0000,5.27
2023-01-10 11:00:00 UTC+0000,4.39
2023-01-10 15:00:00 UTC+0000,3.63
2023-01-10 19:00:00 UTC+0000,9.44
2023-01-10 23:00:00 UTC+0000,38.46
2023-01-11 03:00:00 UTC+0000,40.74
2023-01-11 07:00:00 UTC+0000,5.8
2023-01-11 11:00:00 UTC+0000,4.14
2023-01-11 15:00:00 UTC+0000,3.09
2023-01-11 19:00:00 UTC+0000,7.72
2023-01-11 23:00:00 UTC+0000,39.2
2023-01-12 03:00:00 UTC+0000,32.49
2023-01-12 07:00:00 UTC+0000,5.35
2023-01-12 11:00:00 UTC+0000,3.9
2023-01-12 15:00:00 UTC+0000,2.88
2023-01-12 19:00:00 UTC+0000,7.24
2023-01-12 23:00:00 UTC+0000,68.92
2023-01-13 03:00:00 UTC+0000,36.0
2023-01-13 07:00:00 UTC+0000,4.94
2023-01-13 11:00:00 UTC+0000,13.62
2023-01-13 15:00:00 UTC+0000,2.71
2023-01-13 19:00:00 UTC+0000,11.3
2023-01-13 23:00:00 UTC+0000,36.61
2023-01-14 03:00:00 UTC+0000,29.4
2023-01-14 07:00:00 UTC+0000,7.73
2023-01-14 11:00:00 UTC+0000,12.0
2023-01-14 15:00:00 UTC+0000,7.5
2023-01-14 19:00:00 UTC+0000,18.35
2023-01-14 23:00:00 UTC+0000,50.0
2023-01-15 03:00:00 UTC+0000,42.5
2023-01-15 07:00:00 UTC+0000,14.23
2023-01-15 11:00:00 UTC+0000,27.42
2023-01-15 15:00:00 UTC+0000,14.38
2023-01-15 19:00:00 UTC+0000,11.85
2023-01-15 23:00:00 UTC+0000,33.4
2023-01-16 03:00:00 UTC+0000,30.86
2023-01-16 07:00:00 UTC+0000,7.19
2023-01-16 11:00:00 UTC+0000,10.95
2023-01-16 15:00:00 UTC+0000,7.03
2023-01-16 19:00:00 UTC+0000,10.81
2023-01-16 23:00:00 UTC+0000,30.3
2023-01-17 03:00:00 UTC+0000,23.27
2023-01-17 07:00:00 UTC+0000,5.25
2023-01-17 11:00:00 UTC+0000,6.67
2023-01-17 15:00:00 UTC+0000,4.17
2023-01-17 19:00:00 UTC+0000,8.0
2023-01-17 23:00:00 UTC+0000,22.0
2023-01-18 03:00:00 UTC+0000,16.44
2023-01-18 07:00:00 UTC+0000,3.85
2023-01-18 11:00:00 UTC+0000,5.41
2023-01-18 15:00:00 UTC+0000,2.93
2023-01-18 19:00:00 UTC+0000,6.71
2023-01-18 23:00:00 UTC+0000,23.77
2023-01-19 03:00:00 UTC+0000,50.0
2023-01-19 07:00:00 UTC+0000,677.32
2023-01-19 11:00:00 UTC+0000,875.0
2023-01-19 15:00:00 UTC+0000,127.0
2023-01-19 19:00:00 UTC+0000,53.83
2023-01-19 23:00:00 UTC+0000,19.0
2023-01-20 03:00:00 UTC+0000,22.4
2023-01-20 07:00:00 UTC+0000,49.96
2023-01-20 11:00:00 UTC+0000,49.9
2023-01-20 15:00:00 UTC+0000,14.31
2023-01-20 19:00:00 UTC+0000,12.4
2023-01-20 23:00:00 UTC+0000,15.99
2023-01-21 03:00:00 UTC+0000,16.15
2023-01-21 07:00:00 UTC+0000,15.98
2023-01-21 11:00:00 UTC+0000,16.59
2023-01-21 15:00:00 UTC+0000,6.8
2023-01-21 19:00:00 UTC+0000,8.1
2023-01-21 23:00:00 UTC+0000,19.42
2023-01-22 03:00:00 UTC+0000,17.32
2023-01-22 07:00:00 UTC+0000,11.5
2023-01-22 11:00:00 UTC+0000,9.94
2023-01-22 15:00:00 UTC+0000,5.0
2023-01-22 19:00:00 UTC+0000,6.25
2023-01-22 23:00:00 UTC+0000,16.12
2023-01-23 03:00:00 UTC+0000,14.4
2023-01-23 07:00:00 UTC+0000,5.97
2023-01-23 11:00:00 UTC+0000,6.0
2023-01-23 15:00:00 UTC+0000,3.59
2023-01-23 19:00:00 UTC+0000,4.97
2023-01-23 23:00:00 UTC+0000,14.27
2023-01-24 03:00:00 UTC+0000,11.84
2023-01-24 07:00:00 UTC+0000,4.19
2023-01-24 11:00:00 UTC+0000,4.3
2023-01-24 15:00:00 UTC+0000,2.74
2023-01-24 19:00:00 UTC+0000,4.0
2023-01-24 23:00:00 UTC+0000,12.36
2023-01-25 03:00:00 UTC+0000,9.85
2023-01-25 07:00:00 UTC+0000,3.58
2023-01-25 11:00:00 UTC+0000,3.61
2023-01-25 15:00:00 UTC+0000,2.44
2023-01-25 19:00:00 UTC+0000,3.3
2023-01-25 23:00:00 UTC+0000,10.52
2023-01-26 03:00:00 UTC+0000,8.38
2023-01-26 07:00:00 UTC+0000,2.96
2023-01-26 11:00:00 UTC+0000,2.98
2023-01-26 15:00:00 UTC+0000,2.07
2023-01-26 19:00:00 UTC+0000,3.23
2023-01-26 23:00:00 UTC+0000,9.74
2023-01-27 03:00:00 UTC+0000,10.96
2023-01-27 07:00:00 UTC+0000,2.4
2023-01-27 11:00:00 UTC+0000,2.43
2023-01-27 15:00:00 UTC+0000,1.81
2023-01-27 19:00:00 UTC+0000,2.45
2023-01-27 23:00:00 UTC+0000,8.03
2023-01-28 03:00:00 UTC+0000,7.03
2023-01-28 07:00:00 UTC+0000,2.35
2023-01-28 11:00:00 UTC+0000,2.37
2023-01-28 15:00:00 UTC+0000,2.02
2023-01-28 19:00:00 UTC+0000,3.39
2023-01-28 23:00:00 UTC+0000,7.52
2023-01-29 03:00:00 UTC+0000,6.79
2023-01-29 07:00:00 UTC+0000,4.46
2023-01-29 11:00:00 UTC+0000,4.65
2023-01-29 15:00:00 UTC+0000,3.72
2023-01-29 19:00:00 UTC+0000,11.98
2023-01-29 23:00:00 UTC+0000,42.04
2023-01-30 03:00:00 UTC+0000,37.75
2023-01-30 07:00:00 UTC+0000,5.39
2023-01-30 11:00:00 UTC+0000,8.61
2023-01-30 15:00:00 UTC+0000,5.4
2023-01-30 19:00:00 UTC+0000,8.81
2023-01-30 23:00:00 UTC+0000,32.61
2023-01-31 03:00:00 UTC+0000,24.03
2023-01-31 07:00:00 UTC+0000,4.52
2023-01-31 11:00:00 UTC+0000,6.85
2023-01-31 15:00:00 UTC+0000,4.44
2023-01-31 19:00:00 UTC+0000,7.89
2023-01-31 23:00:00 UTC+0000,32.0
2023-02-01 03:00:00 UTC+0000,27.95
2023-02-01 07:00:00 UTC+0000,4.27
2023-02-01 11:00:00 UTC+0000,5.94
2023-02-01 15:00:00 UTC+0000,18.34
2023-02-01 19:00:00 UTC+0000,9.78
2023-02-01 23:00:00 UTC+0000,38.9
2023-02-02 03:00:00 UTC+0000,32.62
2023-02-02 07:00:00 UTC+0000,4.55
2023-02-02 11:00:00 UTC+0000,4.96
2023-02-02 15:00:00 UTC+0000,8.36
2023-02-02 19:00:00 UTC+0000,7.73
2023-02-02 23:00:00 UTC+0000,26.72
2023-02-03 03:00:00 UTC+0000,23.49
2023-02-03 07:00:00 UTC+0000,4.13
2023-02-03 11:00:00 UTC+0000,5.3
2023-02-03 15:00:00 UTC+0000,5.59
2023-02-03 19:00:00 UTC+0000,6.41
2023-02-03 23:00:00 UTC+0000,19.31
2023-02-04 03:00:00 UTC+0000,15.04
2023-02-04 07:00:00 UTC+0000,3.54
2023-02-04 11:00:00 UTC+0000,3.96
2023-02-04 15:00:00 UTC+0000,4.27
2023-02-04 19:00:00 UTC+0000,5.26
2023-02-04 23:00:00 UTC+0000,13.28
2023-02-05 03:00:00 UTC+0000,12.76
2023-02-05 07:00:00 UTC+0000,3.74
2023-02-05 11:00:00 UTC+0000,18.4
2023-02-05 15:00:00 UTC+0000,4.75
2023-02-05 19:00:00 UTC+0000,5.07
2023-02-05 23:00:00 UTC+0000,15.04
2023-02-06 03:00:00 UTC+0000,10.22
2023-02-06 07:00:00 UTC+0000,3.0
2023-02-06 11:00:00 UTC+0000,7.36
2023-02-06 15:00:00 UTC+0000,3.48
2023-02-06 19:00:00 UTC+0000,4.33
2023-02-06 23:00:00 UTC+0000,11.2
2023-02-07 03:00:00 UTC+0000,8.15
2023-02-07 07:00:00 UTC+0000,3.0
2023-02-07 11:00:00 UTC+0000,10.5
2023-02-07 15:00:00 UTC+0000,2.78
