time (UTC),mFRR+_capacity_marginal_price[(EUR/MW)/h]
2022-10-29 10:00:00 UTC+0000,0.1
2022-10-29 14:00:00 UTC+0000,2.04
2022-10-29 18:00:00 UTC+0000,0.52
2022-10-29 22:00:00 UTC+0000,0.01
2022-10-30 03:00:00 UTC+0000,0.06
2022-10-30 07:00:00 UTC+0000,1.69
2022-10-30 11:00:00 UTC+0000,0.09
2022-10-30 15:00:00 UTC+0000,1.66
2022-10-30 19:00:00 UTC+0000,0.41
2022-10-30 23:00:00 UTC+0000,0.02
2022-10-31 03:00:00 UTC+0000,0.08
2022-10-31 07:00:00 UTC+0000,2.0
2022-10-31 11:00:00 UTC+0000,0.09
2022-10-31 15:00:00 UTC+0000,1.82
2022-10-31 19:00:00 UTC+0000,0.4
2022-10-31 23:00:00 UTC+0000,0.1
2022-11-01 03:00:00 UTC+0000,1.88
2022-11-01 07:00:00 UTC+0000,1.86
2022-11-01 11:00:00 UTC+0000,1.23
2022-11-01 15:00:00 UTC+0000,2.34
2022-11-01 19:00:00 UTC+0000,0.38
2022-11-01 23:00:00 UTC+0000,0.09
2022-11-02 03:00:00 UTC+0000,1.08
2022-11-02 07:00:00 UTC+0000,3.0
2022-11-02 11:00:00 UTC+0000,1.32
2022-11-02 15:00:00 UTC+0000,4.86
2022-11-02 19:00:00 UTC+0000,0.69
2022-11-02 23:00:00 UTC+0000,0.1
2022-11-03 03:00:00 UTC+0000,0.8
2022-11-03 07:00:00 UTC+0000,2.27
2022-11-03 11:00:00 UTC+0000,1.0
2022-11-03 15:00:00 UTC+0000,3.93
2022-11-03 19:00:00 UTC+0000,1.09
2022-11-03 23:00:00 UTC+0000,0.09
2022-11-04 03:00:00 UTC+0000,2.0
2022-11-04 07:00:00 UTC+0000,7.25
2022-11-04 11:00:00 UTC+0000,2.81
2022-11-04 15:00:00 UTC+0000,9.25
2022-11-04 19:00:00 UTC+0000,3.0
2022-11-04 23:00:00 UTC+0000,0.1
2022-11-05 03:00:00 UTC+0000,1.16
2022-11-05 07:00:00 UTC+0000,3.84
2022-11-05 11:00:00 UTC+0000,2.02
2022-11-05 15:00:00 UTC+0000,4.86
2022-11-05 19:00:00 UTC+0000,1.88
2022-11-05 23:00:00 UTC+0000,0.52
2022-11-06 03:00:00 UTC+0000,0.81
2022-11-06 07:00:00 UTC+0000,2.7
2022-11-06 11:00:00 UTC+0000,1.27
2022-11-06 15:00:00 UTC+0000,4.16
2022-11-06 19:00:00 UTC+0000,1.31
2022-11-06 23:00:00 UTC+0000,0.4
2022-11-07 03:00:00 UTC+0000,1.2
2022-11-07 07:00:00 UTC+0000,3.8
2022-11-07 11:00:00 UTC+0000,3.09
2022-11-07 15:00:00 UTC+0000,5.34
2022-11-07 19:00:00 UTC+0000,1.31
2022-11-07 23:00:00 UTC+0000,0.7
2022-11-08 03:00:00 UTC+0000,0.93
2022-11-08 07:00:00 UTC+0000,2.8
2022-11-08 11:00:00 UTC+0000,2.0
2022-11-08 15:00:00 UTC+0000,4.7
2022-11-08 19:00:00 UTC+0000,1.0
2022-11-08 23:00:00 UTC+0000,0.56
2022-11-09 03:00:00 UTC+0000,0.93
2022-11-09 07:00:00 UTC+0000,3.0
2022-11-09 11:00:00 UTC+0000,1.7
2022-11-09 15:00:00 UTC+0000,4.57
2022-11-09 19:00:00 UTC+0000,1.0
2022-11-09 23:00:00 UTC+0000,1.02
2022-11-10 03:00:00 UTC+0000,1.0
2022-11-10 07:00:00 UTC+0000,3.35
2022-11-10 11:00:00 UTC+0000,1.67
2022-11-10 15:00:00 UTC+0000,5.0
2022-11-10 19:00:00 UTC+0000,0.93
2022-11-10 23:00:00 UTC+0000,0.55
2022-11-11 03:00:00 UTC+0000,0.82
2022-11-11 07:00:00 UTC+0000,2.4
2022-11-11 11:00:00 UTC+0000,1.27
2022-11-11 15:00:00 UTC+0000,3.94
2022-11-11 19:00:00 UTC+0000,0.71
2022-11-11 23:00:00 UTC+0000,0.35
2022-11-12 03:00:00 UTC+0000,0.59
2022-11-12 07:00:00 UTC+0000,1.83
2022-11-12 11:00:00 UTC+0000,0.94
2022-11-12 15:00:00 UTC+0000,3.4
2022-11-12 19:00:00 UTC+0000,0.59
2022-11-12 23:00:00 UTC+0000,0.2
2022-11-13 03:00:00 UTC+0000,0.43
2022-11-13 07:00:00 UTC+0000,1.44
2022-11-13 11:00:00 UTC+0000,0.8
2022-11-13 15:00:00 UTC+0000,2.6
2022-11-13 19:00:00 UTC+0000,0.44
2022-11-13 23:00:00 UTC+0000,0.2
2022-11-14 03:00:00 UTC+0000,0.51
2022-11-14 07:00:00 UTC+0000,2.1
2022-11-14 11:00:00 UTC+0000,1.1
2022-11-14 15:00:00 UTC+0000,3.27
2022-11-14 19:00:00 UTC+0000,0.65
2022-11-14 23:00:00 UTC+0000,0.19
2022-11-15 03:00:00 UTC+0000,0.4
2022-11-15 07:00:00 UTC+0000,2.23
2022-11-15 11:00:00 UTC+0000,1.1
2022-11-15 15:00:00 UTC+0000,3.0
2022-11-15 19:00:00 UTC+0000,0.55
2022-11-15 23:00:00 UTC+0000,0.17
2022-11-16 03:00:00 UTC+0000,0.35
2022-11-16 07:00:00 UTC+0000,2.12
2022-11-16 11:00:00 UTC+0000,2.2
2022-11-16 15:00:00 UTC+0000,2.8
2022-11-16 19:00:00 UTC+0000,0.6
2022-11-16 23:00:00 UTC+0000,0.32
2022-11-17 03:00:00 UTC+0000,0.32
2022-11-17 07:00:00 UTC+0000,1.72
2022-11-17 11:00:00 UTC+0000,1.53
2022-11-17 15:00:00 UTC+0000,2.81
2022-11-17 19:00:00 UTC+0000,0.6
2022-11-17 23:00:00 UTC+0000,0.2
2022-11-18 03:00:00 UTC+0000,0.29
2022-11-18 07:00:00 UTC+0000,1.54
2022-11-18 11:00:00 UTC+0000,1.33
2022-11-18 15:00:00 UTC+0000,2.5
2022-11-18 19:00:00 UTC+0000,0.5
2022-11-18 23:00:00 UTC+0000,0.14
2022-11-19 03:00:00 UTC+0000,0.2
2022-11-19 07:00:00 UTC+0000,1.22
2022-11-19 11:00:00 UTC+0000,1.42
2022-11-19 15:00:00 UTC+0000,22.05
2022-11-19 19:00:00 UTC+0000,0.4
2022-11-19 23:00:00 UTC+0000,0.1
2022-11-20 03:00:00 UTC+0000,0.2
2022-11-20 07:00:00 UTC+0000,1.5
2022-11-20 11:00:00 UTC+0000,1.2
2022-11-20 15:00:00 UTC+0000,17.1
2022-11-20 19:00:00 UTC+0000,0.3
2022-11-20 23:00:00 UTC+0000,0.11
2022-11-21 03:00:00 UTC+0000,2.0
2022-11-21 07:00:00 UTC+0000,5.62
2022-11-21 11:00:00 UTC+0000,1.86
2022-11-21 15:00:00 UTC+0000,22.25
2022-11-21 19:00:00 UTC+0000,0.98
2022-11-21 23:00:00 UTC+0000,0.23
2022-11-22 03:00:00 UTC+0000,1.5
2022-11-22 07:00:00 UTC+0000,4.9
2022-11-22 11:00:00 UTC+0000,2.0
2022-11-22 15:00:00 UTC+0000,18.91
2022-11-22 19:00:00 UTC+0000,0.8
2022-11-22 23:00:00 UTC+0000,0.2
2022-11-23 03:00:00 UTC+0000,1.5
2022-11-23 07:00:00 UTC+0000,12.2
2022-11-23 11:00:00 UTC+0000,1.4
2022-11-23 15:00:00 UTC+0000,13.55
2022-11-23 19:00:00 UTC+0000,1.0
2022-11-23 23:00:00 UTC+0000,0.17
2022-11-24 03:00:00 UTC+0000,1.23
2022-11-24 07:00:00 UTC+0000,9.57
2022-11-24 11:00:00 UTC+0000,2.64
2022-11-24 15:00:00 UTC+0000,16.0
2022-11-24 19:00:00 UTC+0000,1.1
2022-11-24 23:00:00 UTC+0000,0.12
2022-11-25 03:00:00 UTC+0000,1.0
2022-11-25 07:00:00 UTC+0000,7.98
2022-11-25 11:00:00 UTC+0000,2.16
2022-11-25 15:00:00 UTC+0000,13.58
2022-11-25 19:00:00 UTC+0000,0.92
2022-11-25 23:00:00 UTC+0000,0.1
2022-11-26 03:00:00 UTC+0000,0.8
2022-11-26 07:00:00 UTC+0000,5.43
2022-11-26 11:00:00 UTC+0000,1.8
2022-11-26 15:00:00 UTC+0000,11.0
2022-11-26 19:00:00 UTC+0000,0.7
2022-11-26 23:00:00 UTC+0000,0.1
2022-11-27 03:00:00 UTC+0000,0.59
2022-11-27 07:00:00 UTC+0000,5.0
2022-11-27 11:00:00 UTC+0000,1.83
2022-11-27 15:00:00 UTC+0000,21.4
2022-11-27 19:00:00 UTC+0000,1.0
2022-11-27 23:00:00 UTC+0000,0.15
2022-11-28 03:00:00 UTC+0000,1.14
2022-11-28 07:00:00 UTC+0000,10.56
2022-11-28 11:00:00 UTC+0000,2.99
2022-11-28 15:00:00 UTC+0000,24.6
2022-11-28 19:00:00 UTC+0000,1.5
2022-11-28 23:00:00 UTC+0000,1.0
2022-11-29 03:00:00 UTC+0000,3.99
2022-11-29 07:00:00 UTC+0000,13.0
2022-11-29 11:00:00 UTC+0000,9.0
2022-11-29 15:00:00 UTC+0000,25.98
2022-11-29 19:00:00 UTC+0000,4.0
2022-11-29 23:00:00 UTC+0000,1.22
2022-11-30 03:00:00 UTC+0000,3.59
2022-11-30 07:00:00 UTC+0000,12.5
2022-11-30 11:00:00 UTC+0000,7.9
2022-11-30 15:00:00 UTC+0000,62.86
2022-11-30 19:00:00 UTC+0000,4.0
2022-11-30 23:00:00 UTC+0000,1.54
2022-12-01 03:00:00 UTC+0000,2.89
2022-12-01 07:00:00 UTC+0000,15.62
2022-12-01 11:00:00 UTC+0000,6.89
2022-12-01 15:00:00 UTC+0000,43.3
2022-12-01 19:00:00 UTC+0000,3.4
2022-12-01 23:00:00 UTC+0000,0.96
2022-12-02 03:00:00 UTC+0000,2.4
2022-12-02 07:00:00 UTC+0000,15.24
2022-12-02 11:00:00 UTC+0000,5.05
2022-12-02 15:00:00 UTC+0000,33.42
2022-12-02 19:00:00 UTC+0000,2.76
2022-12-02 23:00:00 UTC+0000,0.5
2022-12-03 03:00:00 UTC+0000,1.55
2022-12-03 07:00:00 UTC+0000,8.27
2022-12-03 11:00:00 UTC+0000,3.2
2022-12-03 15:00:00 UTC+0000,19.84
2022-12-03 19:00:00 UTC+0000,2.0
2022-12-03 23:00:00 UTC+0000,0.41
2022-12-04 03:00:00 UTC+0000,1.11
2022-12-04 07:00:00 UTC+0000,5.8
2022-12-04 11:00:00 UTC+0000,2.5
2022-12-04 15:00:00 UTC+0000,15.14
2022-12-04 19:00:00 UTC+0000,1.38
2022-12-04 23:00:00 UTC+0000,0.42
2022-12-05 03:00:00 UTC+0000,1.35
2022-12-05 07:00:00 UTC+0000,8.3
2022-12-05 11:00:00 UTC+0000,4.06
2022-12-05 15:00:00 UTC+0000,21.6
2022-12-05 19:00:00 UTC+0000,2.0
2022-12-05 23:00:00 UTC+0000,0.5
2022-12-06 03:00:00 UTC+0000,1.09
2022-12-06 07:00:00 UTC+0000,22.16
2022-12-06 11:00:00 UTC+0000,4.0
2022-12-06 15:00:00 UTC+0000,18.2
2022-12-06 19:00:00 UTC+0000,1.75
2022-12-06 23:00:00 UTC+0000,0.4
2022-12-07 03:00:00 UTC+0000,1.0
2022-12-07 07:00:00 UTC+0000,10.6
2022-12-07 11:00:00 UTC+0000,3.0
2022-12-07 15:00:00 UTC+0000,16.0
2022-12-07 19:00:00 UTC+0000,1.5
2022-12-07 23:00:00 UTC+0000,0.76
2022-12-08 03:00:00 UTC+0000,2.0
2022-12-08 07:00:00 UTC+0000,11.53
2022-12-08 11:00:00 UTC+0000,3.9
2022-12-08 15:00:00 UTC+0000,16.72
2022-12-08 19:00:00 UTC+0000,1.71
2022-12-08 23:00:00 UTC+0000,0.57
2022-12-09 03:00:00 UTC+0000,1.29
2022-12-09 07:00:00 UTC+0000,13.88
2022-12-09 11:00:00 UTC+0000,3.06
2022-12-09 15:00:00 UTC+0000,27.4
2022-12-09 19:00:00 UTC+0000,1.7
2022-12-09 23:00:00 UTC+0000,0.48
2022-12-10 03:00:00 UTC+0000,1.01
2022-12-10 07:00:00 UTC+0000,8.0
2022-12-10 11:00:00 UTC+0000,2.14
2022-12-10 15:00:00 UTC+0000,15.0
2022-12-10 19:00:00 UTC+0000,1.28
2022-12-10 23:00:00 UTC+0000,0.4
2022-12-11 03:00:00 UTC+0000,0.89
2022-12-11 07:00:00 UTC+0000,5.88
2022-12-11 11:00:00 UTC+0000,1.75
2022-12-11 15:00:00 UTC+0000,14.3
2022-12-11 19:00:00 UTC+0000,1.0
2022-12-11 23:00:00 UTC+0000,0.41
2022-12-12 03:00:00 UTC+0000,1.32
2022-12-12 07:00:00 UTC+0000,19.34
2022-12-12 11:00:00 UTC+0000,12.0
2022-12-12 15:00:00 UTC+0000,23.85
2022-12-12 19:00:00 UTC+0000,2.0
2022-12-12 23:00:00 UTC+0000,0.4
2022-12-13 03:00:00 UTC+0000,0.93
2022-12-13 07:00:00 UTC+0000,19.0
2022-12-13 11:00:00 UTC+0000,12.6
2022-12-13 15:00:00 UTC+0000,20.1
2022-12-13 19:00:00 UTC+0000,1.55
2022-12-13 23:00:00 UTC+0000,0.38
2022-12-14 03:00:00 UTC+0000,0.96
2022-12-14 07:00:00 UTC+0000,17.25
2022-12-14 11:00:00 UTC+0000,13.73
2022-12-14 15:00:00 UTC+0000,44.0
2022-12-14 19:00:00 UTC+0000,1.38
2022-12-14 23:00:00 UTC+0000,0.63
2022-12-15 03:00:00 UTC+0000,0.8
2022-12-15 07:00:00 UTC+0000,14.7
2022-12-15 11:00:00 UTC+0000,9.27
2022-12-15 15:00:00 UTC+0000,29.19
2022-12-15 19:00:00 UTC+0000,1.3
2022-12-15 23:00:00 UTC+0000,0.68
2022-12-16 03:00:00 UTC+0000,0.72
2022-12-16 07:00:00 UTC+0000,24.0
2022-12-16 11:00:00 UTC+0000,8.51
2022-12-16 15:00:00 UTC+0000,34.75
2022-12-16 19:00:00 UTC+0000,1.43
2022-12-16 23:00:00 UTC+0000,0.5
2022-12-17 03:00:00 UTC+0000,0.54
2022-12-17 07:00:00 UTC+0000,11.8
2022-12-17 11:00:00 UTC+0000,5.63
2022-12-17 15:00:00 UTC+0000,20.8
2022-12-17 19:00:00 UTC+0000,1.03
2022-12-17 23:00:00 UTC+0000,0.37
2022-12-18 03:00:00 UTC+0000,0.49
2022-12-18 07:00:00 UTC+0000,7.95
2022-12-18 11:00:00 UTC+0000,3.92
2022-12-18 15:00:00 UTC+0000,15.0
2022-12-18 19:00:00 UTC+0000,0.98
2022-12-18 23:00:00 UTC+0000,0.3
2022-12-19 03:00:00 UTC+0000,0.83
2022-12-19 07:00:00 UTC+0000,12.44
2022-12-19 11:00:00 UTC+0000,4.5
2022-12-19 15:00:00 UTC+0000,15.53
2022-12-19 19:00:00 UTC+0000,3.0
2022-12-19 23:00:00 UTC+0000,0.23
2022-12-20 03:00:00 UTC+0000,0.55
2022-12-20 07:00:00 UTC+0000,9.0
2022-12-20 11:00:00 UTC+0000,3.32
2022-12-20 15:00:00 UTC+0000,13.9
2022-12-20 19:00:00 UTC+0000,2.3
2022-12-20 23:00:00 UTC+0000,0.4
2022-12-21 03:00:00 UTC+0000,0.96
2022-12-21 07:00:00 UTC+0000,9.56
2022-12-21 11:00:00 UTC+0000,3.11
2022-12-21 15:00:00 UTC+0000,12.0
2022-12-21 19:00:00 UTC+0000,1.8
2022-12-21 23:00:00 UTC+0000,0.38
2022-12-22 03:00:00 UTC+0000,0.8
2022-12-22 07:00:00 UTC+0000,7.62
2022-12-22 11:00:00 UTC+0000,2.65
2022-12-22 15:00:00 UTC+0000,10.21
2022-12-22 19:00:00 UTC+0000,1.48
2022-12-22 23:00:00 UTC+0000,0.31
2022-12-23 03:00:00 UTC+0000,0.8
2022-12-23 07:00:00 UTC+0000,6.9
2022-12-23 11:00:00 UTC+0000,2.3
2022-12-23 15:00:00 UTC+0000,9.0
2022-12-23 19:00:00 UTC+0000,1.51
2022-12-23 23:00:00 UTC+0000,0.3
2022-12-24 03:00:00 UTC+0000,0.6
2022-12-24 07:00:00 UTC+0000,5.39
2022-12-24 11:00:00 UTC+0000,1.69
2022-12-24 15:00:00 UTC+0000,7.79
2022-12-24 19:00:00 UTC+0000,1.2
2022-12-24 23:00:00 UTC+0000,0.28
2022-12-25 03:00:00 UTC+0000,0.48
2022-12-25 07:00:00 UTC+0000,3.9
2022-12-25 11:00:00 UTC+0000,1.2
2022-12-25 15:00:00 UTC+0000,5.92
2022-12-25 19:00:00 UTC+0000,1.36
2022-12-25 23:00:00 UTC+0000,0.2
2022-12-26 03:00:00 UTC+0000,0.4
2022-12-26 07:00:00 UTC+0000,3.48
2022-12-26 11:00:00 UTC+0000,0.99
2022-12-26 15:00:00 UTC+0000,7.28
2022-12-26 19:00:00 UTC+0000,0.97
2022-12-26 23:00:00 UTC+0000,0.28
2022-12-27 03:00:00 UTC+0000,0.52
2022-12-27 07:00:00 UTC+0000,3.8
2022-12-27 11:00:00 UTC+0000,1.46
2022-12-27 15:00:00 UTC+0000,10.7
2022-12-27 19:00:00 UTC+0000,1.14
2022-12-27 23:00:00 UTC+0000,0.5
2022-12-28 03:00:00 UTC+0000,0.94
2022-12-28 07:00:00 UTC+0000,3.0
2022-12-28 11:00:00 UTC+0000,1.15
2022-12-28 15:00:00 UTC+0000,8.4
2022-12-28 19:00:00 UTC+0000,0.98
2022-12-28 23:00:00 UTC+0000,0.46
2022-12-29 03:00:00 UTC+0000,0.8
2022-12-29 07:00:00 UTC+0000,2.4
2022-12-29 11:00:00 UTC+0000,1.0
2022-12-29 15:00:00 UTC+0000,7.3
2022-12-29 19:00:00 UTC+0000,0.83
2022-12-29 23:00:00 UTC+0000,0.42
2022-12-30 03:00:00 UTC+0000,0.62
2022-12-30 07:00:00 UTC+0000,2.2
2022-12-30 11:00:00 UTC+0000,0.81
2022-12-30 15:00:00 UTC+0000,4.84
2022-12-30 19:00:00 UTC+0000,0.57
2022-12-30 23:00:00 UTC+0000,0.36
2022-12-31 03:00:00 UTC+0000,0.5
2022-12-31 07:00:00 UTC+0000,1.59
2022-12-31 11:00:00 UTC+0000,0.68
2022-12-31 15:00:00 UTC+0000,3.9
2022-12-31 19:00:00 UTC+0000,0.5
2022-12-31 23:00:00 UTC+0000,0.28
2023-01-01 03:00:00 UTC+0000,0.4
2023-01-01 07:00:00 UTC+0000,1.26
2023-01-01 11:00:00 UTC+0000,0.49
2023-01-01 15:00:00 UTC+0000,3.4
2023-01-01 19:00:00 UTC+0000,0.44
2023-01-01 23:00:00 UTC+0000,0.3
2023-01-02 03:00:00 UTC+0000,0.7
2023-01-02 07:00:00 UTC+0000,2.3
2023-01-02 11:00:00 UTC+0000,1.0
2023-01-02 15:00:00 UTC+0000,5.9
2023-01-02 19:00:00 UTC+0000,0.55
2023-01-02 23:00:00 UTC+0000,0.33
2023-01-03 03:00:00 UTC+0000,0.6
2023-01-03 07:00:00 UTC+0000,2.52
2023-01-03 11:00:00 UTC+0000,0.9
2023-01-03 15:00:00 UTC+0000,5.5
2023-01-03 19:00:00 UTC+0000,0.69
2023-01-03 23:00:00 UTC+0000,0.3
2023-01-04 03:00:00 UTC+0000,0.45
2023-01-04 07:00:00 UTC+0000,2.29
2023-01-04 11:00:00 UTC+0000,0.8
2023-01-04 15:00:00 UTC+0000,4.8
2023-01-04 19:00:00 UTC+0000,0.5
2023-01-04 23:00:00 UTC+0000,0.25
2023-01-05 03:00:00 UTC+0000,0.4
2023-01-05 07:00:00 UTC+0000,1.81
2023-01-05 11:00:00 UTC+0000,0.8
2023-01-05 15:00:00 UTC+0000,6.53
2023-01-05 19:00:00 UTC+0000,0.9
2023-01-05 23:00:00 UTC+0000,0.21
2023-01-06 03:00:00 UTC+0000,0.3
2023-01-06 07:00:00 UTC+0000,1.31
2023-01-06 11:00:00 UTC+0000,0.51
2023-01-06 15:00:00 UTC+0000,3.81
2023-01-06 19:00:00 UTC+0000,0.5
2023-01-06 23:00:00 UTC+0000,0.17
2023-01-07 03:00:00 UTC+0000,0.22
2023-01-07 07:00:00 UTC+0000,1.02
2023-01-07 11:00:00 UTC+0000,0.4
2023-01-07 15:00:00 UTC+0000,2.78
2023-01-07 19:00:00 UTC+0000,0.47
2023-01-07 23:00:00 UTC+0000,0.14
2023-01-08 03:00:00 UTC+0000,0.2
2023-01-08 07:00:00 UTC+0000,0.87
2023-01-08 11:00:00 UTC+0000,0.3
2023-01-08 15:00:00 UTC+0000,2.29
2023-01-08 19:00:00 UTC+0000,0.38
2023-01-08 23:00:00 UTC+0000,0.19
2023-01-09 03:00:00 UTC+0000,0.29
2023-01-09 07:00:00 UTC+0000,1.2
2023-01-09 11:00:00 UTC+0000,0.43
2023-01-09 15:00:00 UTC+0000,3.2
2023-01-09 19:00:00 UTC+0000,0.43
2023-01-09 23:00:00 UTC+0000,0.17
2023-01-10 03:00:00 UTC+0000,0.2
2023-01-10 07:00:00 UTC+0000,1.32
2023-01-10 11:00:00 UTC+0000,0.31
2023-01-10 15:00:00 UTC+0000,2.34
2023-01-10 19:00:00 UTC+0000,0.39
2023-01-10 23:00:00 UTC+0000,0.19
2023-01-11 03:00:00 UTC+0000,0.2
2023-01-11 07:00:00 UTC+0000,1.79
2023-01-11 11:00:00 UTC+0000,0.84
2023-01-11 15:00:00 UTC+0000,2.42
2023-01-11 19:00:00 UTC+0000,0.44
2023-01-11 23:00:00 UTC+0000,0.19
2023-01-12 03:00:00 UTC+0000,0.2
2023-01-12 07:00:00 UTC+0000,8.72
2023-01-12 11:00:00 UTC+0000,1.1
2023-01-12 15:00:00 UTC+0000,2.3
2023-01-12 19:00:00 UTC+0000,0.43
2023-01-12 23:00:00 UTC+0000,0.1
2023-01-13 03:00:00 UTC+0000,0.16
2023-01-13 07:00:00 UTC+0000,7.77
2023-01-13 11:00:00 UTC+0000,0.81
2023-01-13 15:00:00 UTC+0000,1.8
2023-01-13 19:00:00 UTC+0000,0.4
2023-01-13 23:00:00 UTC+0000,0.15
2023-01-14 03:00:00 UTC+0000,0.13
2023-01-14 07:00:00 UTC+0000,5.82
2023-01-14 11:00:00 UTC+0000,0.7
2023-01-14 15:00:00 UTC+0000,1.5
2023-01-14 19:00:00 UTC+0000,0.32
2023-01-14 23:00:00 UTC+0000,0.1
2023-01-15 03:00:00 UTC+0000,0.1
2023-01-15 07:00:00 UTC+0000,4.16
2023-01-15 11:00:00 UTC+0000,0.5
2023-01-15 15:00:00 UTC+0000,1.15
2023-01-15 19:00:00 UTC+0000,0.3
2023-01-15 23:00:00 UTC+0000,0.15
2023-01-16 03:00:00 UTC+0000,0.44
2023-01-16 07:00:00 UTC+0000,10.0
2023-01-16 11:00:00 UTC+0000,0.7
2023-01-16 15:00:00 UTC+0000,9.33
2023-01-16 19:00:00 UTC+0000,0.5
2023-01-16 23:00:00 UTC+0000,0.2
2023-01-17 03:00:00 UTC+0000,0.37
2023-01-17 07:00:00 UTC+0000,5.56
2023-01-17 11:00:00 UTC+0000,0.6
2023-01-17 15:00:00 UTC+0000,9.55
2023-01-17 19:00:00 UTC+0000,3.24
2023-01-17 23:00:00 UTC+0000,0.44
2023-01-18 03:00:00 UTC+0000,0.59
2023-01-18 07:00:00 UTC+0000,31.82
2023-01-18 11:00:00 UTC+0000,0.69
2023-01-18 15:00:00 UTC+0000,21.15
2023-01-18 19:00:00 UTC+0000,2.43
2023-01-18 23:00:00 UTC+0000,15.0
2023-01-19 03:00:00 UTC+0000,36.71
2023-01-19 07:00:00 UTC+0000,32.13
2023-01-19 11:00:00 UTC+0000,25.09
2023-01-19 15:00:00 UTC+0000,31.65
2023-01-19 19:00:00 UTC+0000,10.09
2023-01-19 23:00:00 UTC+0000,3.6
2023-01-20 03:00:00 UTC+0000,4.2
2023-01-20 07:00:00 UTC+0000,21.7
2023-01-20 11:00:00 UTC+0000,5.02
2023-01-20 15:00:00 UTC+0000,17.0
2023-01-20 19:00:00 UTC+0000,4.7
2023-01-20 23:00:00 UTC+0000,2.45
2023-01-21 03:00:00 UTC+0000,1.52
2023-01-21 07:00:00 UTC+0000,8.8
2023-01-21 11:00:00 UTC+0000,2.0
2023-01-21 15:00:00 UTC+0000,8.34
2023-01-21 19:00:00 UTC+0000,2.2
2023-01-21 23:00:00 UTC+0000,1.94
2023-01-22 03:00:00 UTC+0000,1.09
2023-01-22 07:00:00 UTC+0000,4.05
2023-01-22 11:00:00 UTC+0000,1.15
2023-01-22 15:00:00 UTC+0000,5.83
2023-01-22 19:00:00 UTC+0000,1.29
2023-01-22 23:00:00 UTC+0000,1.88
2023-01-23 03:00:00 UTC+0000,6.06
2023-01-23 07:00:00 UTC+0000,30.0
2023-01-23 11:00:00 UTC+0000,4.58
2023-01-23 15:00:00 UTC+0000,16.63
2023-01-23 19:00:00 UTC+0000,3.78
2023-01-23 23:00:00 UTC+0000,1.6
2023-01-24 03:00:00 UTC+0000,4.81
2023-01-24 07:00:00 UTC+0000,26.18
2023-01-24 11:00:00 UTC+0000,4.81
2023-01-24 15:00:00 UTC+0000,18.0
2023-01-24 19:00:00 UTC+0000,5.0
2023-01-24 23:00:00 UTC+0000,1.31
2023-01-25 03:00:00 UTC+0000,3.88
2023-01-25 07:00:00 UTC+0000,19.2
2023-01-25 11:00:00 UTC+0000,3.48
2023-01-25 15:00:00 UTC+0000,14.88
2023-01-25 19:00:00 UTC+0000,4.46
2023-01-25 23:00:00 UTC+0000,1.06
2023-01-26 03:00:00 UTC+0000,3.0
2023-01-26 07:00:00 UTC+0000,15.48
2023-01-26 11:00:00 UTC+0000,2.62
2023-01-26 15:00:00 UTC+0000,11.72
2023-01-26 19:00:00 UTC+0000,3.07
2023-01-26 23:00:00 UTC+0000,0.7
2023-01-27 03:00:00 UTC+0000,2.37
2023-01-27 07:00:00 UTC+0000,12.71
2023-01-27 11:00:00 UTC+0000,2.03
2023-01-27 15:00:00 UTC+0000,10.3
2023-01-27 19:00:00 UTC+0000,2.22
2023-01-27 23:00:00 UTC+0000,0.6
2023-01-28 03:00:00 UTC+0000,1.58
2023-01-28 07:00:00 UTC+0000,8.77
2023-01-28 11:00:00 UTC+0000,1.4
2023-01-28 15:00:00 UTC+0000,7.12
2023-01-28 19:00:00 UTC+0000,1.58
2023-01-28 23:00:00 UTC+0000,0.56
2023-01-29 03:00:00 UTC+0000,1.38
2023-01-29 07:00:00 UTC+0000,5.96
2023-01-29 11:00:00 UTC+0000,1.11
2023-01-29 15:00:00 UTC+0000,5.54
2023-01-29 19:00:00 UTC+0000,1.36
2023-01-29 23:00:00 UTC+0000,0.6
2023-01-30 03:00:00 UTC+0000,2.5
2023-01-30 07:00:00 UTC+0000,7.3
2023-01-30 11:00:00 UTC+0000,1.49
2023-01-30 15:00:00 UTC+0000,7.6
2023-01-30 19:00:00 UTC+0000,1.76
2023-01-30 23:00:00 UTC+0000,0.5
2023-01-31 03:00:00 UTC+0000,1.95
2023-01-31 07:00:00 UTC+0000,7.8
2023-01-31 11:00:00 UTC+0000,1.8
2023-01-31 15:00:00 UTC+0000,5.4
2023-01-31 19:00:00 UTC+0000,3.0
2023-01-31 23:00:00 UTC+0000,0.45
2023-02-01 03:00:00 UTC+0000,1.47
2023-02-01 07:00:00 UTC+0000,5.68
2023-02-01 11:00:00 UTC+0000,1.28
2023-02-01 15:00:00 UTC+0000,4.55
2023-02-01 19:00:00 UTC+0000,2.9
2023-02-01 23:00:00 UTC+0000,0.35
2023-02-02 03:00:00 UTC+0000,1.24
2023-02-02 07:00:00 UTC+0000,4.8
2023-02-02 11:00:00 UTC+0000,1.6
2023-02-02 15:00:00 UTC+0000,6.91
2023-02-02 19:00:00 UTC+0000,2.32
2023-02-02 23:00:00 UTC+0000,0.27
2023-02-03 03:00:00 UTC+0000,0.99
