time (UTC),mFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-02-16 15:00:00 UTC+0000,9.0
2021-02-16 19:00:00 UTC+0000,4.2325
2021-02-16 23:00:00 UTC+0000,2.54
2021-02-17 03:00:00 UTC+0000,8.4275
2021-02-17 07:00:00 UTC+0000,9.765
2021-02-17 11:00:00 UTC+0000,3.1125
2021-02-17 15:00:00 UTC+0000,8.5225
2021-02-17 19:00:00 UTC+0000,27.78
2021-02-17 23:00:00 UTC+0000,2.1975
2021-02-18 03:00:00 UTC+0000,6.12
2021-02-18 07:00:00 UTC+0000,8.69
2021-02-18 11:00:00 UTC+0000,2.6225
2021-02-18 15:00:00 UTC+0000,6.5
2021-02-18 19:00:00 UTC+0000,6.375
2021-02-18 23:00:00 UTC+0000,1.59
2021-02-19 03:00:00 UTC+0000,4.825
2021-02-19 07:00:00 UTC+0000,7.5
2021-02-19 11:00:00 UTC+0000,2.25
2021-02-19 15:00:00 UTC+0000,8.0
2021-02-19 19:00:00 UTC+0000,4.6475
2021-02-19 23:00:00 UTC+0000,1.375
2021-02-20 03:00:00 UTC+0000,3.6875
2021-02-20 07:00:00 UTC+0000,4.75
2021-02-20 11:00:00 UTC+0000,1.75
2021-02-20 15:00:00 UTC+0000,5.25
2021-02-20 19:00:00 UTC+0000,2.5
2021-02-20 23:00:00 UTC+0000,0.905
2021-02-21 03:00:00 UTC+0000,2.25
2021-02-21 07:00:00 UTC+0000,3.14
2021-02-21 11:00:00 UTC+0000,1.285
2021-02-21 15:00:00 UTC+0000,4.75
2021-02-21 19:00:00 UTC+0000,2.0
2021-02-21 23:00:00 UTC+0000,3.73
2021-02-22 03:00:00 UTC+0000,13.1075
2021-02-22 07:00:00 UTC+0000,12.7825
2021-02-22 11:00:00 UTC+0000,4.25
2021-02-22 15:00:00 UTC+0000,12.46
2021-02-22 19:00:00 UTC+0000,4.78
2021-02-22 23:00:00 UTC+0000,2.25
2021-02-23 03:00:00 UTC+0000,8.25
2021-02-23 07:00:00 UTC+0000,12.22
2021-02-23 11:00:00 UTC+0000,2.75
2021-02-23 15:00:00 UTC+0000,8.3325
2021-02-23 19:00:00 UTC+0000,3.75
2021-02-23 23:00:00 UTC+0000,1.425
2021-02-24 03:00:00 UTC+0000,5.26
2021-02-24 07:00:00 UTC+0000,7.125
2021-02-24 11:00:00 UTC+0000,2.19
2021-02-24 15:00:00 UTC+0000,8.215
2021-02-24 19:00:00 UTC+0000,3.3925
2021-02-24 23:00:00 UTC+0000,1.105
2021-02-25 03:00:00 UTC+0000,5.5725
2021-02-25 07:00:00 UTC+0000,8.0625
2021-02-25 11:00:00 UTC+0000,2.0725
2021-02-25 15:00:00 UTC+0000,12.31
2021-02-25 19:00:00 UTC+0000,3.5
2021-02-25 23:00:00 UTC+0000,0.7875
2021-02-26 03:00:00 UTC+0000,4.75
2021-02-26 07:00:00 UTC+0000,7.25
2021-02-26 11:00:00 UTC+0000,1.92
2021-02-26 15:00:00 UTC+0000,9.25
2021-02-26 19:00:00 UTC+0000,3.25
2021-02-26 23:00:00 UTC+0000,1.0975
2021-02-27 03:00:00 UTC+0000,3.035
2021-02-27 07:00:00 UTC+0000,4.5
2021-02-27 11:00:00 UTC+0000,1.47
2021-02-27 15:00:00 UTC+0000,6.75
2021-02-27 19:00:00 UTC+0000,2.0
2021-02-27 23:00:00 UTC+0000,0.7925
2021-02-28 03:00:00 UTC+0000,2.0
2021-02-28 07:00:00 UTC+0000,3.2225
2021-02-28 11:00:00 UTC+0000,1.25
