time (UTC),aFRR+_capacity_marginal_price[(EUR/MW)/h]
2022-10-08 02:00:00 UTC+0000,42.53
2022-10-08 06:00:00 UTC+0000,49.48
2022-10-08 10:00:00 UTC+0000,24.87
2022-10-08 14:00:00 UTC+0000,55.28
2022-10-08 18:00:00 UTC+0000,30.97
2022-10-08 22:00:00 UTC+0000,7.9
2022-10-09 02:00:00 UTC+0000,31.0
2022-10-09 06:00:00 UTC+0000,39.5
2022-10-09 10:00:00 UTC+0000,21.45
2022-10-09 14:00:00 UTC+0000,50.15
2022-10-09 18:00:00 UTC+0000,32.63
2022-10-09 22:00:00 UTC+0000,6.94
2022-10-10 02:00:00 UTC+0000,28.69
2022-10-10 06:00:00 UTC+0000,43.81
2022-10-10 10:00:00 UTC+0000,24.24
2022-10-10 14:00:00 UTC+0000,53.73
2022-10-10 18:00:00 UTC+0000,28.95
2022-10-10 22:00:00 UTC+0000,7.41
2022-10-11 02:00:00 UTC+0000,25.08
2022-10-11 06:00:00 UTC+0000,40.94
2022-10-11 10:00:00 UTC+0000,20.17
2022-10-11 14:00:00 UTC+0000,73.0
2022-10-11 18:00:00 UTC+0000,35.34
2022-10-11 22:00:00 UTC+0000,6.49
2022-10-12 02:00:00 UTC+0000,24.48
2022-10-12 06:00:00 UTC+0000,48.02
2022-10-12 10:00:00 UTC+0000,18.22
2022-10-12 14:00:00 UTC+0000,66.85
2022-10-12 18:00:00 UTC+0000,31.65
2022-10-12 22:00:00 UTC+0000,5.68
2022-10-13 02:00:00 UTC+0000,20.86
2022-10-13 06:00:00 UTC+0000,103.0
2022-10-13 10:00:00 UTC+0000,210.0
2022-10-13 14:00:00 UTC+0000,58.14
2022-10-13 18:00:00 UTC+0000,27.0
2022-10-13 22:00:00 UTC+0000,5.72
2022-10-14 02:00:00 UTC+0000,20.94
2022-10-14 06:00:00 UTC+0000,54.0
2022-10-14 10:00:00 UTC+0000,38.62
2022-10-14 14:00:00 UTC+0000,52.49
2022-10-14 18:00:00 UTC+0000,24.9
2022-10-14 22:00:00 UTC+0000,11.58
2022-10-15 02:00:00 UTC+0000,18.31
2022-10-15 06:00:00 UTC+0000,39.98
2022-10-15 10:00:00 UTC+0000,23.41
2022-10-15 14:00:00 UTC+0000,44.56
2022-10-15 18:00:00 UTC+0000,23.66
2022-10-15 22:00:00 UTC+0000,15.96
2022-10-16 02:00:00 UTC+0000,16.14
2022-10-16 06:00:00 UTC+0000,43.58
2022-10-16 10:00:00 UTC+0000,30.42
2022-10-16 14:00:00 UTC+0000,40.93
2022-10-16 18:00:00 UTC+0000,23.58
2022-10-16 22:00:00 UTC+0000,10.04
2022-10-17 02:00:00 UTC+0000,20.52
2022-10-17 06:00:00 UTC+0000,41.06
2022-10-17 10:00:00 UTC+0000,24.2
2022-10-17 14:00:00 UTC+0000,58.58
2022-10-17 18:00:00 UTC+0000,26.88
2022-10-17 22:00:00 UTC+0000,8.39
2022-10-18 02:00:00 UTC+0000,21.06
2022-10-18 06:00:00 UTC+0000,40.74
2022-10-18 10:00:00 UTC+0000,20.0
2022-10-18 14:00:00 UTC+0000,60.96
2022-10-18 18:00:00 UTC+0000,27.5
2022-10-18 22:00:00 UTC+0000,7.75
2022-10-19 02:00:00 UTC+0000,20.85
2022-10-19 06:00:00 UTC+0000,38.17
2022-10-19 10:00:00 UTC+0000,20.51
2022-10-19 14:00:00 UTC+0000,54.14
2022-10-19 18:00:00 UTC+0000,26.49
2022-10-19 22:00:00 UTC+0000,18.47
2022-10-20 02:00:00 UTC+0000,19.85
2022-10-20 06:00:00 UTC+0000,36.17
2022-10-20 10:00:00 UTC+0000,22.61
2022-10-20 14:00:00 UTC+0000,46.3
2022-10-20 18:00:00 UTC+0000,24.76
2022-10-20 22:00:00 UTC+0000,10.0
2022-10-21 02:00:00 UTC+0000,18.92
2022-10-21 06:00:00 UTC+0000,33.8
2022-10-21 10:00:00 UTC+0000,18.1
2022-10-21 14:00:00 UTC+0000,43.7
2022-10-21 18:00:00 UTC+0000,23.19
2022-10-21 22:00:00 UTC+0000,9.53
2022-10-22 02:00:00 UTC+0000,17.53
2022-10-22 06:00:00 UTC+0000,28.87
2022-10-22 10:00:00 UTC+0000,14.85
2022-10-22 14:00:00 UTC+0000,38.52
2022-10-22 18:00:00 UTC+0000,19.19
2022-10-22 22:00:00 UTC+0000,8.18
2022-10-23 02:00:00 UTC+0000,14.93
2022-10-23 06:00:00 UTC+0000,22.67
2022-10-23 10:00:00 UTC+0000,13.02
2022-10-23 14:00:00 UTC+0000,29.7
2022-10-23 18:00:00 UTC+0000,15.69
2022-10-23 22:00:00 UTC+0000,7.35
2022-10-24 02:00:00 UTC+0000,15.95
2022-10-24 06:00:00 UTC+0000,23.33
2022-10-24 10:00:00 UTC+0000,13.0
2022-10-24 14:00:00 UTC+0000,34.49
2022-10-24 18:00:00 UTC+0000,18.72
2022-10-24 22:00:00 UTC+0000,6.88
2022-10-25 02:00:00 UTC+0000,15.33
2022-10-25 06:00:00 UTC+0000,30.33
2022-10-25 10:00:00 UTC+0000,14.78
2022-10-25 14:00:00 UTC+0000,43.35
2022-10-25 18:00:00 UTC+0000,22.69
2022-10-25 22:00:00 UTC+0000,6.3
2022-10-26 02:00:00 UTC+0000,14.25
2022-10-26 06:00:00 UTC+0000,25.0
2022-10-26 10:00:00 UTC+0000,12.77
2022-10-26 14:00:00 UTC+0000,36.0
2022-10-26 18:00:00 UTC+0000,18.79
2022-10-26 22:00:00 UTC+0000,5.71
2022-10-27 02:00:00 UTC+0000,13.2
2022-10-27 06:00:00 UTC+0000,23.38
2022-10-27 10:00:00 UTC+0000,11.54
2022-10-27 14:00:00 UTC+0000,32.73
2022-10-27 18:00:00 UTC+0000,16.38
2022-10-27 22:00:00 UTC+0000,5.31
2022-10-28 02:00:00 UTC+0000,12.39
2022-10-28 06:00:00 UTC+0000,21.11
2022-10-28 10:00:00 UTC+0000,10.44
2022-10-28 14:00:00 UTC+0000,28.0
2022-10-28 18:00:00 UTC+0000,14.3
2022-10-28 22:00:00 UTC+0000,5.53
2022-10-29 02:00:00 UTC+0000,10.69
2022-10-29 06:00:00 UTC+0000,17.55
2022-10-29 10:00:00 UTC+0000,9.2
2022-10-29 14:00:00 UTC+0000,24.22
2022-10-29 18:00:00 UTC+0000,12.83
2022-10-29 22:00:00 UTC+0000,7.65
2022-10-30 03:00:00 UTC+0000,10.85
2022-10-30 07:00:00 UTC+0000,14.99
2022-10-30 11:00:00 UTC+0000,8.07
2022-10-30 15:00:00 UTC+0000,20.93
2022-10-30 19:00:00 UTC+0000,11.67
2022-10-30 23:00:00 UTC+0000,6.41
2022-10-31 03:00:00 UTC+0000,11.7
2022-10-31 07:00:00 UTC+0000,17.23
2022-10-31 11:00:00 UTC+0000,10.25
2022-10-31 15:00:00 UTC+0000,26.12
2022-10-31 19:00:00 UTC+0000,13.03
2022-10-31 23:00:00 UTC+0000,22.03
2022-11-01 03:00:00 UTC+0000,10.98
2022-11-01 07:00:00 UTC+0000,14.74
2022-11-01 11:00:00 UTC+0000,17.4
2022-11-01 15:00:00 UTC+0000,21.42
2022-11-01 19:00:00 UTC+0000,11.71
2022-11-01 23:00:00 UTC+0000,14.68
2022-11-02 03:00:00 UTC+0000,15.21
2022-11-02 07:00:00 UTC+0000,19.16
2022-11-02 11:00:00 UTC+0000,15.8
2022-11-02 15:00:00 UTC+0000,29.37
2022-11-02 19:00:00 UTC+0000,21.82
2022-11-02 23:00:00 UTC+0000,12.51
2022-11-03 03:00:00 UTC+0000,13.82
2022-11-03 07:00:00 UTC+0000,15.0
2022-11-03 11:00:00 UTC+0000,12.72
2022-11-03 15:00:00 UTC+0000,23.75
2022-11-03 19:00:00 UTC+0000,15.22
2022-11-03 23:00:00 UTC+0000,10.12
2022-11-04 03:00:00 UTC+0000,23.07
2022-11-04 07:00:00 UTC+0000,30.0
2022-11-04 11:00:00 UTC+0000,12.11
2022-11-04 15:00:00 UTC+0000,52.94
2022-11-04 19:00:00 UTC+0000,17.38
2022-11-04 23:00:00 UTC+0000,8.87
2022-11-05 03:00:00 UTC+0000,14.02
2022-11-05 07:00:00 UTC+0000,16.6
2022-11-05 11:00:00 UTC+0000,10.56
2022-11-05 15:00:00 UTC+0000,23.87
2022-11-05 19:00:00 UTC+0000,14.98
2022-11-05 23:00:00 UTC+0000,9.9
2022-11-06 03:00:00 UTC+0000,11.0
2022-11-06 07:00:00 UTC+0000,14.34
2022-11-06 11:00:00 UTC+0000,9.9
2022-11-06 15:00:00 UTC+0000,25.29
2022-11-06 19:00:00 UTC+0000,13.17
2022-11-06 23:00:00 UTC+0000,8.94
2022-11-07 03:00:00 UTC+0000,17.87
2022-11-07 07:00:00 UTC+0000,22.01
2022-11-07 11:00:00 UTC+0000,10.45
2022-11-07 15:00:00 UTC+0000,35.9
2022-11-07 19:00:00 UTC+0000,15.07
2022-11-07 23:00:00 UTC+0000,8.29
2022-11-08 03:00:00 UTC+0000,13.77
2022-11-08 07:00:00 UTC+0000,17.4
2022-11-08 11:00:00 UTC+0000,10.51
2022-11-08 15:00:00 UTC+0000,33.86
2022-11-08 19:00:00 UTC+0000,12.6
2022-11-08 23:00:00 UTC+0000,7.29
2022-11-09 03:00:00 UTC+0000,12.32
2022-11-09 07:00:00 UTC+0000,18.6
2022-11-09 11:00:00 UTC+0000,10.34
2022-11-09 15:00:00 UTC+0000,33.69
2022-11-09 19:00:00 UTC+0000,12.78
2022-11-09 23:00:00 UTC+0000,6.85
2022-11-10 03:00:00 UTC+0000,12.62
2022-11-10 07:00:00 UTC+0000,18.08
2022-11-10 11:00:00 UTC+0000,10.42
2022-11-10 15:00:00 UTC+0000,38.02
2022-11-10 19:00:00 UTC+0000,12.62
2022-11-10 23:00:00 UTC+0000,6.08
2022-11-11 03:00:00 UTC+0000,10.6
2022-11-11 07:00:00 UTC+0000,15.38
2022-11-11 11:00:00 UTC+0000,9.23
2022-11-11 15:00:00 UTC+0000,32.0
2022-11-11 19:00:00 UTC+0000,11.45
2022-11-11 23:00:00 UTC+0000,5.83
2022-11-12 03:00:00 UTC+0000,9.43
2022-11-12 07:00:00 UTC+0000,13.35
2022-11-12 11:00:00 UTC+0000,7.73
2022-11-12 15:00:00 UTC+0000,29.86
2022-11-12 19:00:00 UTC+0000,11.13
2022-11-12 23:00:00 UTC+0000,5.5
2022-11-13 03:00:00 UTC+0000,7.79
2022-11-13 07:00:00 UTC+0000,10.72
2022-11-13 11:00:00 UTC+0000,6.64
2022-11-13 15:00:00 UTC+0000,23.4
2022-11-13 19:00:00 UTC+0000,9.12
2022-11-13 23:00:00 UTC+0000,5.52
2022-11-14 03:00:00 UTC+0000,11.8
2022-11-14 07:00:00 UTC+0000,16.78
2022-11-14 11:00:00 UTC+0000,9.02
2022-11-14 15:00:00 UTC+0000,32.78
2022-11-14 19:00:00 UTC+0000,14.86
2022-11-14 23:00:00 UTC+0000,5.29
2022-11-15 03:00:00 UTC+0000,10.19
2022-11-15 07:00:00 UTC+0000,17.04
2022-11-15 11:00:00 UTC+0000,10.33
2022-11-15 15:00:00 UTC+0000,31.41
2022-11-15 19:00:00 UTC+0000,13.4
2022-11-15 23:00:00 UTC+0000,4.57
2022-11-16 03:00:00 UTC+0000,9.21
2022-11-16 07:00:00 UTC+0000,15.66
2022-11-16 11:00:00 UTC+0000,9.8
2022-11-16 15:00:00 UTC+0000,29.31
2022-11-16 19:00:00 UTC+0000,16.42
2022-11-16 23:00:00 UTC+0000,9.18
2022-11-17 03:00:00 UTC+0000,8.65
2022-11-17 07:00:00 UTC+0000,13.66
2022-11-17 11:00:00 UTC+0000,8.1
2022-11-17 15:00:00 UTC+0000,29.68
2022-11-17 19:00:00 UTC+0000,18.66
2022-11-17 23:00:00 UTC+0000,6.46
2022-11-18 03:00:00 UTC+0000,8.28
2022-11-18 07:00:00 UTC+0000,12.5
2022-11-18 11:00:00 UTC+0000,7.85
2022-11-18 15:00:00 UTC+0000,28.62
2022-11-18 19:00:00 UTC+0000,15.11
2022-11-18 23:00:00 UTC+0000,5.04
2022-11-19 03:00:00 UTC+0000,7.36
2022-11-19 07:00:00 UTC+0000,10.95
2022-11-19 11:00:00 UTC+0000,7.12
2022-11-19 15:00:00 UTC+0000,29.0
2022-11-19 19:00:00 UTC+0000,13.71
2022-11-19 23:00:00 UTC+0000,4.58
2022-11-20 03:00:00 UTC+0000,6.98
2022-11-20 07:00:00 UTC+0000,9.65
2022-11-20 11:00:00 UTC+0000,6.35
2022-11-20 15:00:00 UTC+0000,22.8
2022-11-20 19:00:00 UTC+0000,10.85
2022-11-20 23:00:00 UTC+0000,4.92
2022-11-21 03:00:00 UTC+0000,22.63
2022-11-21 07:00:00 UTC+0000,24.54
2022-11-21 11:00:00 UTC+0000,12.73
2022-11-21 15:00:00 UTC+0000,30.73
2022-11-21 19:00:00 UTC+0000,20.0
2022-11-21 23:00:00 UTC+0000,5.05
2022-11-22 03:00:00 UTC+0000,19.03
2022-11-22 07:00:00 UTC+0000,18.89
2022-11-22 11:00:00 UTC+0000,9.67
2022-11-22 15:00:00 UTC+0000,32.85
2022-11-22 19:00:00 UTC+0000,15.06
2022-11-22 23:00:00 UTC+0000,4.72
2022-11-23 03:00:00 UTC+0000,16.03
2022-11-23 07:00:00 UTC+0000,17.19
2022-11-23 11:00:00 UTC+0000,8.0
2022-11-23 15:00:00 UTC+0000,25.53
2022-11-23 19:00:00 UTC+0000,13.04
2022-11-23 23:00:00 UTC+0000,4.37
2022-11-24 03:00:00 UTC+0000,14.39
2022-11-24 07:00:00 UTC+0000,20.17
2022-11-24 11:00:00 UTC+0000,10.0
2022-11-24 15:00:00 UTC+0000,36.98
2022-11-24 19:00:00 UTC+0000,15.54
2022-11-24 23:00:00 UTC+0000,3.96
2022-11-25 03:00:00 UTC+0000,12.83
2022-11-25 07:00:00 UTC+0000,18.05
2022-11-25 11:00:00 UTC+0000,8.86
2022-11-25 15:00:00 UTC+0000,32.05
2022-11-25 19:00:00 UTC+0000,14.3
2022-11-25 23:00:00 UTC+0000,3.71
2022-11-26 03:00:00 UTC+0000,10.47
2022-11-26 07:00:00 UTC+0000,13.28
2022-11-26 11:00:00 UTC+0000,7.1
2022-11-26 15:00:00 UTC+0000,27.21
2022-11-26 19:00:00 UTC+0000,12.67
2022-11-26 23:00:00 UTC+0000,3.91
2022-11-27 03:00:00 UTC+0000,8.57
2022-11-27 07:00:00 UTC+0000,10.99
2022-11-27 11:00:00 UTC+0000,6.14
2022-11-27 15:00:00 UTC+0000,21.9
2022-11-27 19:00:00 UTC+0000,10.21
2022-11-27 23:00:00 UTC+0000,5.12
2022-11-28 03:00:00 UTC+0000,16.93
2022-11-28 07:00:00 UTC+0000,19.99
2022-11-28 11:00:00 UTC+0000,10.69
2022-11-28 15:00:00 UTC+0000,31.66
2022-11-28 19:00:00 UTC+0000,17.68
2022-11-28 23:00:00 UTC+0000,5.08
2022-11-29 03:00:00 UTC+0000,18.03
2022-11-29 07:00:00 UTC+0000,22.36
2022-11-29 11:00:00 UTC+0000,10.07
2022-11-29 15:00:00 UTC+0000,37.32
2022-11-29 19:00:00 UTC+0000,22.76
2022-11-29 23:00:00 UTC+0000,5.27
2022-11-30 03:00:00 UTC+0000,16.32
2022-11-30 07:00:00 UTC+0000,22.96
2022-11-30 11:00:00 UTC+0000,9.92
2022-11-30 15:00:00 UTC+0000,89.46
2022-11-30 19:00:00 UTC+0000,19.8
2022-11-30 23:00:00 UTC+0000,4.71
2022-12-01 03:00:00 UTC+0000,14.73
2022-12-01 07:00:00 UTC+0000,24.34
2022-12-01 11:00:00 UTC+0000,10.47
2022-12-01 15:00:00 UTC+0000,65.99
2022-12-01 19:00:00 UTC+0000,18.9
2022-12-01 23:00:00 UTC+0000,4.38
2022-12-02 03:00:00 UTC+0000,13.66
2022-12-02 07:00:00 UTC+0000,25.79
2022-12-02 11:00:00 UTC+0000,9.13
2022-12-02 15:00:00 UTC+0000,45.0
2022-12-02 19:00:00 UTC+0000,17.4
2022-12-02 23:00:00 UTC+0000,3.62
2022-12-03 03:00:00 UTC+0000,10.3
2022-12-03 07:00:00 UTC+0000,16.3
2022-12-03 11:00:00 UTC+0000,6.84
2022-12-03 15:00:00 UTC+0000,30.0
2022-12-03 19:00:00 UTC+0000,14.08
2022-12-03 23:00:00 UTC+0000,3.4
2022-12-04 03:00:00 UTC+0000,8.61
2022-12-04 07:00:00 UTC+0000,13.0
2022-12-04 11:00:00 UTC+0000,5.86
2022-12-04 15:00:00 UTC+0000,25.19
2022-12-04 19:00:00 UTC+0000,11.73
2022-12-04 23:00:00 UTC+0000,3.94
2022-12-05 03:00:00 UTC+0000,13.75
2022-12-05 07:00:00 UTC+0000,18.43
2022-12-05 11:00:00 UTC+0000,8.95
2022-12-05 15:00:00 UTC+0000,37.75
2022-12-05 19:00:00 UTC+0000,16.29
2022-12-05 23:00:00 UTC+0000,4.17
2022-12-06 03:00:00 UTC+0000,12.0
2022-12-06 07:00:00 UTC+0000,25.03
2022-12-06 11:00:00 UTC+0000,9.7
2022-12-06 15:00:00 UTC+0000,32.0
2022-12-06 19:00:00 UTC+0000,15.76
2022-12-06 23:00:00 UTC+0000,3.9
2022-12-07 03:00:00 UTC+0000,10.38
2022-12-07 07:00:00 UTC+0000,18.3
2022-12-07 11:00:00 UTC+0000,7.96
2022-12-07 15:00:00 UTC+0000,29.27
2022-12-07 19:00:00 UTC+0000,13.64
2022-12-07 23:00:00 UTC+0000,3.62
2022-12-08 03:00:00 UTC+0000,9.43
2022-12-08 07:00:00 UTC+0000,17.09
2022-12-08 11:00:00 UTC+0000,7.46
2022-12-08 15:00:00 UTC+0000,29.96
2022-12-08 19:00:00 UTC+0000,13.85
2022-12-08 23:00:00 UTC+0000,3.34
2022-12-09 03:00:00 UTC+0000,8.81
2022-12-09 07:00:00 UTC+0000,16.68
2022-12-09 11:00:00 UTC+0000,6.94
2022-12-09 15:00:00 UTC+0000,28.3
2022-12-09 19:00:00 UTC+0000,13.13
2022-12-09 23:00:00 UTC+0000,4.46
2022-12-10 03:00:00 UTC+0000,7.67
2022-12-10 07:00:00 UTC+0000,13.16
2022-12-10 11:00:00 UTC+0000,5.93
2022-12-10 15:00:00 UTC+0000,23.57
2022-12-10 19:00:00 UTC+0000,11.52
2022-12-10 23:00:00 UTC+0000,4.1
2022-12-11 03:00:00 UTC+0000,6.33
2022-12-11 07:00:00 UTC+0000,9.59
2022-12-11 11:00:00 UTC+0000,5.33
2022-12-11 15:00:00 UTC+0000,18.48
2022-12-11 19:00:00 UTC+0000,9.88
2022-12-11 23:00:00 UTC+0000,5.3
2022-12-12 03:00:00 UTC+0000,13.59
2022-12-12 07:00:00 UTC+0000,23.0
2022-12-12 11:00:00 UTC+0000,14.5
2022-12-12 15:00:00 UTC+0000,39.0
2022-12-12 19:00:00 UTC+0000,22.0
2022-12-12 23:00:00 UTC+0000,4.31
2022-12-13 03:00:00 UTC+0000,12.21
2022-12-13 07:00:00 UTC+0000,20.76
2022-12-13 11:00:00 UTC+0000,12.3
2022-12-13 15:00:00 UTC+0000,34.75
2022-12-13 19:00:00 UTC+0000,18.66
2022-12-13 23:00:00 UTC+0000,4.04
2022-12-14 03:00:00 UTC+0000,11.84
2022-12-14 07:00:00 UTC+0000,21.82
2022-12-14 11:00:00 UTC+0000,19.07
2022-12-14 15:00:00 UTC+0000,60.95
2022-12-14 19:00:00 UTC+0000,18.4
2022-12-14 23:00:00 UTC+0000,9.79
2022-12-15 03:00:00 UTC+0000,10.5
2022-12-15 07:00:00 UTC+0000,19.17
2022-12-15 11:00:00 UTC+0000,11.74
2022-12-15 15:00:00 UTC+0000,42.24
2022-12-15 19:00:00 UTC+0000,17.92
2022-12-15 23:00:00 UTC+0000,11.12
2022-12-16 03:00:00 UTC+0000,10.22
2022-12-16 07:00:00 UTC+0000,37.75
2022-12-16 11:00:00 UTC+0000,11.71
2022-12-16 15:00:00 UTC+0000,55.65
2022-12-16 19:00:00 UTC+0000,18.2
2022-12-16 23:00:00 UTC+0000,9.3
2022-12-17 03:00:00 UTC+0000,9.21
2022-12-17 07:00:00 UTC+0000,19.01
2022-12-17 11:00:00 UTC+0000,9.11
2022-12-17 15:00:00 UTC+0000,34.22
2022-12-17 19:00:00 UTC+0000,14.96
2022-12-17 23:00:00 UTC+0000,7.1
2022-12-18 03:00:00 UTC+0000,7.87
2022-12-18 07:00:00 UTC+0000,14.02
2022-12-18 11:00:00 UTC+0000,6.8
2022-12-18 15:00:00 UTC+0000,23.36
2022-12-18 19:00:00 UTC+0000,12.61
2022-12-18 23:00:00 UTC+0000,6.43
2022-12-19 03:00:00 UTC+0000,12.88
2022-12-19 07:00:00 UTC+0000,16.74
2022-12-19 11:00:00 UTC+0000,8.28
2022-12-19 15:00:00 UTC+0000,25.32
2022-12-19 19:00:00 UTC+0000,14.78
2022-12-19 23:00:00 UTC+0000,5.68
2022-12-20 03:00:00 UTC+0000,10.55
2022-12-20 07:00:00 UTC+0000,14.76
2022-12-20 11:00:00 UTC+0000,7.02
2022-12-20 15:00:00 UTC+0000,24.36
2022-12-20 19:00:00 UTC+0000,13.55
2022-12-20 23:00:00 UTC+0000,5.23
2022-12-21 03:00:00 UTC+0000,10.45
2022-12-21 07:00:00 UTC+0000,21.4
2022-12-21 11:00:00 UTC+0000,7.27
2022-12-21 15:00:00 UTC+0000,21.93
2022-12-21 19:00:00 UTC+0000,12.65
2022-12-21 23:00:00 UTC+0000,4.69
2022-12-22 03:00:00 UTC+0000,9.37
2022-12-22 07:00:00 UTC+0000,13.79
2022-12-22 11:00:00 UTC+0000,6.24
2022-12-22 15:00:00 UTC+0000,19.92
2022-12-22 19:00:00 UTC+0000,11.42
2022-12-22 23:00:00 UTC+0000,4.1
2022-12-23 03:00:00 UTC+0000,8.2
2022-12-23 07:00:00 UTC+0000,13.0
2022-12-23 11:00:00 UTC+0000,5.66
2022-12-23 15:00:00 UTC+0000,18.06
2022-12-23 19:00:00 UTC+0000,13.83
2022-12-23 23:00:00 UTC+0000,9.32
2022-12-24 03:00:00 UTC+0000,7.45
2022-12-24 07:00:00 UTC+0000,11.48
2022-12-24 11:00:00 UTC+0000,4.91
2022-12-24 15:00:00 UTC+0000,17.6
2022-12-24 19:00:00 UTC+0000,11.93
2022-12-24 23:00:00 UTC+0000,6.75
2022-12-25 03:00:00 UTC+0000,6.47
2022-12-25 07:00:00 UTC+0000,9.97
2022-12-25 11:00:00 UTC+0000,4.0
2022-12-25 15:00:00 UTC+0000,14.87
2022-12-25 19:00:00 UTC+0000,17.0
2022-12-25 23:00:00 UTC+0000,5.5
2022-12-26 03:00:00 UTC+0000,5.63
2022-12-26 07:00:00 UTC+0000,8.77
2022-12-26 11:00:00 UTC+0000,3.48
2022-12-26 15:00:00 UTC+0000,13.92
2022-12-26 19:00:00 UTC+0000,12.22
2022-12-26 23:00:00 UTC+0000,4.73
2022-12-27 03:00:00 UTC+0000,5.68
2022-12-27 07:00:00 UTC+0000,8.54
2022-12-27 11:00:00 UTC+0000,4.6
2022-12-27 15:00:00 UTC+0000,22.66
2022-12-27 19:00:00 UTC+0000,11.49
2022-12-27 23:00:00 UTC+0000,4.11
2022-12-28 03:00:00 UTC+0000,5.24
2022-12-28 07:00:00 UTC+0000,7.88
2022-12-28 11:00:00 UTC+0000,4.08
2022-12-28 15:00:00 UTC+0000,17.94
2022-12-28 19:00:00 UTC+0000,13.12
2022-12-28 23:00:00 UTC+0000,3.78
2022-12-29 03:00:00 UTC+0000,4.67
2022-12-29 07:00:00 UTC+0000,7.2
2022-12-29 11:00:00 UTC+0000,3.69
2022-12-29 15:00:00 UTC+0000,18.67
2022-12-29 19:00:00 UTC+0000,11.84
2022-12-29 23:00:00 UTC+0000,3.16
2022-12-30 03:00:00 UTC+0000,4.26
2022-12-30 07:00:00 UTC+0000,7.76
2022-12-30 11:00:00 UTC+0000,3.11
2022-12-30 15:00:00 UTC+0000,14.0
2022-12-30 19:00:00 UTC+0000,9.77
2022-12-30 23:00:00 UTC+0000,3.0
2022-12-31 03:00:00 UTC+0000,3.8
2022-12-31 07:00:00 UTC+0000,5.98
2022-12-31 11:00:00 UTC+0000,3.0
2022-12-31 15:00:00 UTC+0000,12.0
2022-12-31 19:00:00 UTC+0000,8.64
2022-12-31 23:00:00 UTC+0000,2.46
2023-01-01 03:00:00 UTC+0000,3.17
2023-01-01 07:00:00 UTC+0000,5.08
2023-01-01 11:00:00 UTC+0000,2.42
2023-01-01 15:00:00 UTC+0000,10.62
2023-01-01 19:00:00 UTC+0000,8.87
2023-01-01 23:00:00 UTC+0000,3.01
2023-01-02 03:00:00 UTC+0000,5.61
2023-01-02 07:00:00 UTC+0000,8.66
2023-01-02 11:00:00 UTC+0000,5.62
2023-01-02 15:00:00 UTC+0000,18.74
2023-01-02 19:00:00 UTC+0000,12.46
2023-01-02 23:00:00 UTC+0000,3.53
2023-01-03 03:00:00 UTC+0000,5.96
2023-01-03 07:00:00 UTC+0000,10.75
2023-01-03 11:00:00 UTC+0000,5.89
2023-01-03 15:00:00 UTC+0000,18.96
2023-01-03 19:00:00 UTC+0000,15.0
2023-01-03 23:00:00 UTC+0000,4.1
2023-01-04 03:00:00 UTC+0000,5.13
2023-01-04 07:00:00 UTC+0000,10.86
2023-01-04 11:00:00 UTC+0000,5.63
2023-01-04 15:00:00 UTC+0000,17.67
2023-01-04 19:00:00 UTC+0000,12.02
2023-01-04 23:00:00 UTC+0000,3.73
2023-01-05 03:00:00 UTC+0000,4.98
2023-01-05 07:00:00 UTC+0000,8.78
2023-01-05 11:00:00 UTC+0000,6.36
2023-01-05 15:00:00 UTC+0000,26.15
2023-01-05 19:00:00 UTC+0000,20.0
2023-01-05 23:00:00 UTC+0000,3.5
2023-01-06 03:00:00 UTC+0000,4.32
2023-01-06 07:00:00 UTC+0000,7.57
2023-01-06 11:00:00 UTC+0000,5.0
2023-01-06 15:00:00 UTC+0000,17.09
2023-01-06 19:00:00 UTC+0000,11.66
2023-01-06 23:00:00 UTC+0000,3.51
2023-01-07 03:00:00 UTC+0000,3.91
2023-01-07 07:00:00 UTC+0000,6.57
2023-01-07 11:00:00 UTC+0000,4.12
2023-01-07 15:00:00 UTC+0000,14.09
2023-01-07 19:00:00 UTC+0000,10.39
2023-01-07 23:00:00 UTC+0000,3.13
2023-01-08 03:00:00 UTC+0000,3.31
2023-01-08 07:00:00 UTC+0000,5.79
2023-01-08 11:00:00 UTC+0000,3.38
2023-01-08 15:00:00 UTC+0000,12.02
2023-01-08 19:00:00 UTC+0000,9.3
2023-01-08 23:00:00 UTC+0000,3.36
2023-01-09 03:00:00 UTC+0000,5.0
2023-01-09 07:00:00 UTC+0000,9.77
2023-01-09 11:00:00 UTC+0000,5.54
2023-01-09 15:00:00 UTC+0000,18.98
2023-01-09 19:00:00 UTC+0000,13.75
2023-01-09 23:00:00 UTC+0000,3.04
2023-01-10 03:00:00 UTC+0000,4.83
2023-01-10 07:00:00 UTC+0000,13.28
2023-01-10 11:00:00 UTC+0000,4.94
2023-01-10 15:00:00 UTC+0000,14.95
2023-01-10 19:00:00 UTC+0000,11.8
2023-01-10 23:00:00 UTC+0000,5.24
2023-01-11 03:00:00 UTC+0000,5.06
2023-01-11 07:00:00 UTC+0000,10.1
2023-01-11 11:00:00 UTC+0000,4.44
2023-01-11 15:00:00 UTC+0000,15.1
2023-01-11 19:00:00 UTC+0000,14.61
2023-01-11 23:00:00 UTC+0000,4.6
2023-01-12 03:00:00 UTC+0000,4.31
2023-01-12 07:00:00 UTC+0000,8.97
2023-01-12 11:00:00 UTC+0000,3.92
2023-01-12 15:00:00 UTC+0000,13.99
2023-01-12 19:00:00 UTC+0000,12.5
