time (UTC),aFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-02-08 11:00:00 UTC+0000,6.3325
2021-02-08 15:00:00 UTC+0000,16.2075
2021-02-08 19:00:00 UTC+0000,11.0
2021-02-08 23:00:00 UTC+0000,23.25
2021-02-09 03:00:00 UTC+0000,61.13
2021-02-09 07:00:00 UTC+0000,31.5
2021-02-09 11:00:00 UTC+0000,14.5825
2021-02-09 15:00:00 UTC+0000,23.0
2021-02-09 19:00:00 UTC+0000,15.5
2021-02-09 23:00:00 UTC+0000,13.375
2021-02-10 03:00:00 UTC+0000,27.2375
2021-02-10 07:00:00 UTC+0000,20.31
2021-02-10 11:00:00 UTC+0000,9.475
2021-02-10 15:00:00 UTC+0000,17.3
2021-02-10 19:00:00 UTC+0000,10.0825
2021-02-10 23:00:00 UTC+0000,10.61
2021-02-11 03:00:00 UTC+0000,17.19
2021-02-11 07:00:00 UTC+0000,19.235
2021-02-11 11:00:00 UTC+0000,10.235
2021-02-11 15:00:00 UTC+0000,20.4175
2021-02-11 19:00:00 UTC+0000,7.61
2021-02-11 23:00:00 UTC+0000,8.9725
2021-02-12 03:00:00 UTC+0000,14.75
2021-02-12 07:00:00 UTC+0000,18.3625
2021-02-12 11:00:00 UTC+0000,8.23
2021-02-12 15:00:00 UTC+0000,19.88
2021-02-12 19:00:00 UTC+0000,7.25
2021-02-12 23:00:00 UTC+0000,6.1175
2021-02-13 03:00:00 UTC+0000,8.975
2021-02-13 07:00:00 UTC+0000,10.7
2021-02-13 11:00:00 UTC+0000,5.05
2021-02-13 15:00:00 UTC+0000,11.875
2021-02-13 19:00:00 UTC+0000,4.7375
2021-02-13 23:00:00 UTC+0000,3.52
2021-02-14 03:00:00 UTC+0000,6.25
2021-02-14 07:00:00 UTC+0000,6.375
2021-02-14 11:00:00 UTC+0000,3.255
2021-02-14 15:00:00 UTC+0000,7.785
2021-02-14 19:00:00 UTC+0000,3.6
2021-02-14 23:00:00 UTC+0000,37.5
2021-02-15 03:00:00 UTC+0000,108.75
2021-02-15 07:00:00 UTC+0000,10.25
2021-02-15 11:00:00 UTC+0000,5.5
2021-02-15 15:00:00 UTC+0000,11.8125
2021-02-15 19:00:00 UTC+0000,6.55
2021-02-15 23:00:00 UTC+0000,12.0
2021-02-16 03:00:00 UTC+0000,19.85
2021-02-16 07:00:00 UTC+0000,12.77
2021-02-16 11:00:00 UTC+0000,4.4725
2021-02-16 15:00:00 UTC+0000,9.6875
2021-02-16 19:00:00 UTC+0000,4.45
2021-02-16 23:00:00 UTC+0000,7.175
2021-02-17 03:00:00 UTC+0000,13.3875
2021-02-17 07:00:00 UTC+0000,9.8625
2021-02-17 11:00:00 UTC+0000,4.0875
2021-02-17 15:00:00 UTC+0000,9.625
2021-02-17 19:00:00 UTC+0000,16.25
2021-02-17 23:00:00 UTC+0000,5.7075
2021-02-18 03:00:00 UTC+0000,10.7825
2021-02-18 07:00:00 UTC+0000,10.66
2021-02-18 11:00:00 UTC+0000,4.25
2021-02-18 15:00:00 UTC+0000,7.655
2021-02-18 19:00:00 UTC+0000,7.15
2021-02-18 23:00:00 UTC+0000,4.235
2021-02-19 03:00:00 UTC+0000,7.9625
2021-02-19 07:00:00 UTC+0000,9.0
2021-02-19 11:00:00 UTC+0000,3.6675
