time (UTC),mFRR-_capacity_marginal_price[(EUR/MW)/h]
2022-08-13 18:00:00 UTC+0000,0.03
2022-08-13 22:00:00 UTC+0000,0.02
2022-08-14 02:00:00 UTC+0000,0.05
2022-08-14 06:00:00 UTC+0000,1.43
2022-08-14 10:00:00 UTC+0000,51.23
2022-08-14 14:00:00 UTC+0000,0.57
2022-08-14 18:00:00 UTC+0000,0.5
2022-08-14 22:00:00 UTC+0000,0.02
2022-08-15 02:00:00 UTC+0000,0.03
2022-08-15 06:00:00 UTC+0000,0.59
2022-08-15 10:00:00 UTC+0000,3.5
2022-08-15 14:00:00 UTC+0000,0.22
2022-08-15 18:00:00 UTC+0000,0.05
2022-08-15 22:00:00 UTC+0000,0.01
2022-08-16 02:00:00 UTC+0000,0.01
2022-08-16 06:00:00 UTC+0000,0.3
2022-08-16 10:00:00 UTC+0000,1.75
2022-08-16 14:00:00 UTC+0000,0.05
2022-08-16 18:00:00 UTC+0000,0.01
2022-08-16 22:00:00 UTC+0000,0.03
2022-08-17 02:00:00 UTC+0000,0.04
2022-08-17 06:00:00 UTC+0000,0.16
2022-08-17 10:00:00 UTC+0000,0.95
2022-08-17 14:00:00 UTC+0000,0.02
2022-08-17 18:00:00 UTC+0000,0.07
2022-08-17 22:00:00 UTC+0000,0.01
2022-08-18 02:00:00 UTC+0000,0.02
2022-08-18 06:00:00 UTC+0000,0.13
2022-08-18 10:00:00 UTC+0000,0.65
2022-08-18 14:00:00 UTC+0000,0.01
2022-08-18 18:00:00 UTC+0000,0.03
2022-08-18 22:00:00 UTC+0000,0.01
2022-08-19 02:00:00 UTC+0000,0.01
2022-08-19 06:00:00 UTC+0000,6.66
2022-08-19 10:00:00 UTC+0000,0.42
2022-08-19 14:00:00 UTC+0000,0.01
2022-08-19 18:00:00 UTC+0000,0.01
2022-08-19 22:00:00 UTC+0000,0.07
2022-08-20 02:00:00 UTC+0000,0.44
2022-08-20 06:00:00 UTC+0000,3.25
2022-08-20 10:00:00 UTC+0000,7.9
2022-08-20 14:00:00 UTC+0000,0.25
2022-08-20 18:00:00 UTC+0000,1.69
2022-08-20 22:00:00 UTC+0000,0.11
2022-08-21 02:00:00 UTC+0000,0.6
2022-08-21 06:00:00 UTC+0000,28.75
2022-08-21 10:00:00 UTC+0000,69.55
2022-08-21 14:00:00 UTC+0000,6.89
2022-08-21 18:00:00 UTC+0000,3.65
2022-08-21 22:00:00 UTC+0000,0.06
2022-08-22 02:00:00 UTC+0000,0.26
2022-08-22 06:00:00 UTC+0000,5.02
2022-08-22 10:00:00 UTC+0000,8.65
2022-08-22 14:00:00 UTC+0000,1.1
2022-08-22 18:00:00 UTC+0000,0.8
2022-08-22 22:00:00 UTC+0000,0.04
2022-08-23 02:00:00 UTC+0000,0.14
2022-08-23 06:00:00 UTC+0000,2.84
2022-08-23 10:00:00 UTC+0000,4.02
2022-08-23 14:00:00 UTC+0000,0.44
2022-08-23 18:00:00 UTC+0000,0.39
2022-08-23 22:00:00 UTC+0000,0.03
2022-08-24 02:00:00 UTC+0000,0.1
2022-08-24 06:00:00 UTC+0000,1.38
2022-08-24 10:00:00 UTC+0000,2.69
2022-08-24 14:00:00 UTC+0000,0.25
2022-08-24 18:00:00 UTC+0000,0.25
2022-08-24 22:00:00 UTC+0000,0.02
2022-08-25 02:00:00 UTC+0000,0.06
2022-08-25 06:00:00 UTC+0000,0.88
2022-08-25 10:00:00 UTC+0000,1.79
2022-08-25 14:00:00 UTC+0000,0.13
2022-08-25 18:00:00 UTC+0000,0.15
2022-08-25 22:00:00 UTC+0000,0.01
2022-08-26 02:00:00 UTC+0000,0.03
2022-08-26 06:00:00 UTC+0000,0.6
2022-08-26 10:00:00 UTC+0000,1.11
2022-08-26 14:00:00 UTC+0000,0.08
2022-08-26 18:00:00 UTC+0000,0.1
2022-08-26 22:00:00 UTC+0000,0.02
2022-08-27 02:00:00 UTC+0000,0.03
2022-08-27 06:00:00 UTC+0000,1.23
2022-08-27 10:00:00 UTC+0000,4.26
2022-08-27 14:00:00 UTC+0000,0.21
2022-08-27 18:00:00 UTC+0000,1.11
2022-08-27 22:00:00 UTC+0000,0.1
2022-08-28 02:00:00 UTC+0000,0.3
2022-08-28 06:00:00 UTC+0000,36.74
2022-08-28 10:00:00 UTC+0000,120.6
2022-08-28 14:00:00 UTC+0000,12.0
2022-08-28 18:00:00 UTC+0000,2.43
2022-08-28 22:00:00 UTC+0000,0.07
2022-08-29 02:00:00 UTC+0000,0.26
2022-08-29 06:00:00 UTC+0000,4.8
2022-08-29 10:00:00 UTC+0000,7.95
2022-08-29 14:00:00 UTC+0000,1.3
2022-08-29 18:00:00 UTC+0000,0.68
2022-08-29 22:00:00 UTC+0000,0.03
2022-08-30 02:00:00 UTC+0000,0.12
2022-08-30 06:00:00 UTC+0000,3.24
2022-08-30 10:00:00 UTC+0000,3.82
2022-08-30 14:00:00 UTC+0000,0.52
2022-08-30 18:00:00 UTC+0000,0.65
2022-08-30 22:00:00 UTC+0000,0.02
2022-08-31 02:00:00 UTC+0000,0.05
2022-08-31 06:00:00 UTC+0000,2.0
2022-08-31 10:00:00 UTC+0000,2.0
2022-08-31 14:00:00 UTC+0000,0.26
2022-08-31 18:00:00 UTC+0000,0.37
2022-08-31 22:00:00 UTC+0000,0.02
2022-09-01 02:00:00 UTC+0000,0.03
2022-09-01 06:00:00 UTC+0000,1.2
2022-09-01 10:00:00 UTC+0000,1.21
2022-09-01 14:00:00 UTC+0000,0.12
2022-09-01 18:00:00 UTC+0000,0.19
2022-09-01 22:00:00 UTC+0000,0.02
2022-09-02 02:00:00 UTC+0000,0.02
2022-09-02 06:00:00 UTC+0000,0.66
2022-09-02 10:00:00 UTC+0000,0.97
2022-09-02 14:00:00 UTC+0000,0.08
2022-09-02 18:00:00 UTC+0000,0.15
2022-09-02 22:00:00 UTC+0000,0.05
2022-09-03 02:00:00 UTC+0000,0.07
2022-09-03 06:00:00 UTC+0000,1.99
2022-09-03 10:00:00 UTC+0000,45.0
2022-09-03 14:00:00 UTC+0000,1.02
2022-09-03 18:00:00 UTC+0000,0.43
2022-09-03 22:00:00 UTC+0000,0.05
2022-09-04 02:00:00 UTC+0000,0.06
2022-09-04 06:00:00 UTC+0000,11.11
2022-09-04 10:00:00 UTC+0000,58.3
2022-09-04 14:00:00 UTC+0000,1.4
2022-09-04 18:00:00 UTC+0000,0.42
2022-09-04 22:00:00 UTC+0000,0.06
2022-09-05 02:00:00 UTC+0000,0.1
2022-09-05 06:00:00 UTC+0000,2.13
2022-09-05 10:00:00 UTC+0000,6.2
2022-09-05 14:00:00 UTC+0000,0.48
2022-09-05 18:00:00 UTC+0000,0.29
2022-09-05 22:00:00 UTC+0000,0.06
2022-09-06 02:00:00 UTC+0000,0.07
2022-09-06 06:00:00 UTC+0000,1.22
2022-09-06 10:00:00 UTC+0000,3.1
2022-09-06 14:00:00 UTC+0000,0.19
2022-09-06 18:00:00 UTC+0000,0.14
2022-09-06 22:00:00 UTC+0000,0.05
2022-09-07 02:00:00 UTC+0000,0.06
2022-09-07 06:00:00 UTC+0000,0.71
2022-09-07 10:00:00 UTC+0000,1.34
2022-09-07 14:00:00 UTC+0000,0.08
2022-09-07 18:00:00 UTC+0000,0.08
2022-09-07 22:00:00 UTC+0000,0.07
2022-09-08 02:00:00 UTC+0000,0.07
2022-09-08 06:00:00 UTC+0000,0.39
2022-09-08 10:00:00 UTC+0000,0.62
2022-09-08 14:00:00 UTC+0000,0.07
2022-09-08 18:00:00 UTC+0000,0.06
2022-09-08 22:00:00 UTC+0000,0.07
2022-09-09 02:00:00 UTC+0000,0.06
2022-09-09 06:00:00 UTC+0000,0.2
2022-09-09 10:00:00 UTC+0000,0.35
2022-09-09 14:00:00 UTC+0000,0.11
2022-09-09 18:00:00 UTC+0000,0.11
2022-09-09 22:00:00 UTC+0000,0.05
2022-09-10 02:00:00 UTC+0000,0.06
2022-09-10 06:00:00 UTC+0000,1.5
2022-09-10 10:00:00 UTC+0000,9.62
2022-09-10 14:00:00 UTC+0000,0.55
2022-09-10 18:00:00 UTC+0000,0.27
2022-09-10 22:00:00 UTC+0000,0.05
2022-09-11 02:00:00 UTC+0000,0.05
2022-09-11 06:00:00 UTC+0000,3.35
2022-09-11 10:00:00 UTC+0000,17.77
2022-09-11 14:00:00 UTC+0000,1.04
2022-09-11 18:00:00 UTC+0000,0.29
2022-09-11 22:00:00 UTC+0000,0.05
2022-09-12 02:00:00 UTC+0000,0.08
2022-09-12 06:00:00 UTC+0000,1.14
2022-09-12 10:00:00 UTC+0000,5.0
2022-09-12 14:00:00 UTC+0000,0.42
2022-09-12 18:00:00 UTC+0000,0.15
2022-09-12 22:00:00 UTC+0000,0.22
2022-09-13 02:00:00 UTC+0000,1.83
2022-09-13 06:00:00 UTC+0000,0.83
2022-09-13 10:00:00 UTC+0000,2.86
2022-09-13 14:00:00 UTC+0000,0.26
2022-09-13 18:00:00 UTC+0000,0.1
2022-09-13 22:00:00 UTC+0000,0.1
2022-09-14 02:00:00 UTC+0000,0.82
2022-09-14 06:00:00 UTC+0000,0.55
2022-09-14 10:00:00 UTC+0000,1.74
2022-09-14 14:00:00 UTC+0000,1.0
2022-09-14 18:00:00 UTC+0000,0.08
2022-09-14 22:00:00 UTC+0000,0.07
2022-09-15 02:00:00 UTC+0000,0.44
2022-09-15 06:00:00 UTC+0000,0.36
2022-09-15 10:00:00 UTC+0000,1.5
2022-09-15 14:00:00 UTC+0000,0.22
2022-09-15 18:00:00 UTC+0000,0.07
2022-09-15 22:00:00 UTC+0000,0.16
2022-09-16 02:00:00 UTC+0000,0.46
2022-09-16 06:00:00 UTC+0000,7.15
2022-09-16 10:00:00 UTC+0000,9.0
2022-09-16 14:00:00 UTC+0000,0.41
2022-09-16 18:00:00 UTC+0000,0.67
2022-09-16 22:00:00 UTC+0000,2.0
2022-09-17 02:00:00 UTC+0000,2.3
2022-09-17 06:00:00 UTC+0000,15.0
2022-09-17 10:00:00 UTC+0000,41.0
2022-09-17 14:00:00 UTC+0000,13.74
2022-09-17 18:00:00 UTC+0000,1.65
2022-09-17 22:00:00 UTC+0000,2.25
2022-09-18 02:00:00 UTC+0000,2.5
2022-09-18 06:00:00 UTC+0000,21.0
2022-09-18 10:00:00 UTC+0000,44.44
2022-09-18 14:00:00 UTC+0000,14.58
2022-09-18 18:00:00 UTC+0000,2.0
2022-09-18 22:00:00 UTC+0000,1.17
2022-09-19 02:00:00 UTC+0000,1.61
2022-09-19 06:00:00 UTC+0000,5.52
2022-09-19 10:00:00 UTC+0000,10.47
2022-09-19 14:00:00 UTC+0000,5.55
2022-09-19 18:00:00 UTC+0000,0.57
2022-09-19 22:00:00 UTC+0000,0.59
2022-09-20 02:00:00 UTC+0000,0.55
2022-09-20 06:00:00 UTC+0000,2.08
2022-09-20 10:00:00 UTC+0000,3.58
2022-09-20 14:00:00 UTC+0000,2.1
2022-09-20 18:00:00 UTC+0000,0.24
2022-09-20 22:00:00 UTC+0000,0.28
2022-09-21 02:00:00 UTC+0000,0.29
2022-09-21 06:00:00 UTC+0000,0.9
2022-09-21 10:00:00 UTC+0000,1.55
2022-09-21 14:00:00 UTC+0000,0.93
2022-09-21 18:00:00 UTC+0000,0.15
2022-09-21 22:00:00 UTC+0000,0.11
2022-09-22 02:00:00 UTC+0000,0.13
2022-09-22 06:00:00 UTC+0000,0.46
2022-09-22 10:00:00 UTC+0000,0.72
2022-09-22 14:00:00 UTC+0000,0.35
2022-09-22 18:00:00 UTC+0000,0.08
2022-09-22 22:00:00 UTC+0000,0.07
2022-09-23 02:00:00 UTC+0000,0.07
2022-09-23 06:00:00 UTC+0000,4.0
2022-09-23 10:00:00 UTC+0000,0.41
2022-09-23 14:00:00 UTC+0000,0.17
2022-09-23 18:00:00 UTC+0000,0.06
2022-09-23 22:00:00 UTC+0000,0.05
2022-09-24 02:00:00 UTC+0000,0.07
2022-09-24 06:00:00 UTC+0000,2.0
2022-09-24 10:00:00 UTC+0000,2.85
2022-09-24 14:00:00 UTC+0000,1.51
2022-09-24 18:00:00 UTC+0000,0.1
2022-09-24 22:00:00 UTC+0000,0.05
2022-09-25 02:00:00 UTC+0000,0.06
2022-09-25 06:00:00 UTC+0000,1.27
2022-09-25 10:00:00 UTC+0000,3.71
2022-09-25 14:00:00 UTC+0000,0.87
2022-09-25 18:00:00 UTC+0000,0.08
2022-09-25 22:00:00 UTC+0000,0.07
2022-09-26 02:00:00 UTC+0000,0.07
2022-09-26 06:00:00 UTC+0000,0.72
2022-09-26 10:00:00 UTC+0000,2.77
2022-09-26 14:00:00 UTC+0000,0.5
2022-09-26 18:00:00 UTC+0000,0.06
2022-09-26 22:00:00 UTC+0000,0.09
2022-09-27 02:00:00 UTC+0000,0.09
2022-09-27 06:00:00 UTC+0000,0.39
2022-09-27 10:00:00 UTC+0000,1.3
2022-09-27 14:00:00 UTC+0000,0.5
2022-09-27 18:00:00 UTC+0000,0.06
2022-09-27 22:00:00 UTC+0000,0.1
2022-09-28 02:00:00 UTC+0000,0.1
2022-09-28 06:00:00 UTC+0000,20.7
2022-09-28 10:00:00 UTC+0000,9.42
2022-09-28 14:00:00 UTC+0000,5.98
2022-09-28 18:00:00 UTC+0000,2.0
2022-09-28 22:00:00 UTC+0000,0.08
2022-09-29 02:00:00 UTC+0000,0.08
2022-09-29 06:00:00 UTC+0000,3.25
2022-09-29 10:00:00 UTC+0000,2.4
2022-09-29 14:00:00 UTC+0000,1.41
2022-09-29 18:00:00 UTC+0000,0.55
2022-09-29 22:00:00 UTC+0000,0.07
2022-09-30 02:00:00 UTC+0000,0.05
2022-09-30 06:00:00 UTC+0000,1.11
2022-09-30 10:00:00 UTC+0000,1.31
2022-09-30 14:00:00 UTC+0000,0.65
2022-09-30 18:00:00 UTC+0000,0.52
2022-09-30 22:00:00 UTC+0000,1.5
2022-10-01 02:00:00 UTC+0000,2.42
2022-10-01 06:00:00 UTC+0000,9.0
2022-10-01 10:00:00 UTC+0000,32.7
2022-10-01 14:00:00 UTC+0000,7.26
2022-10-01 18:00:00 UTC+0000,1.75
2022-10-01 22:00:00 UTC+0000,2.0
2022-10-02 02:00:00 UTC+0000,2.0
2022-10-02 06:00:00 UTC+0000,6.72
2022-10-02 10:00:00 UTC+0000,21.5
2022-10-02 14:00:00 UTC+0000,4.5
2022-10-02 18:00:00 UTC+0000,1.0
2022-10-02 22:00:00 UTC+0000,1.15
2022-10-03 02:00:00 UTC+0000,1.38
2022-10-03 06:00:00 UTC+0000,4.33
2022-10-03 10:00:00 UTC+0000,13.5
2022-10-03 14:00:00 UTC+0000,2.78
2022-10-03 18:00:00 UTC+0000,0.74
2022-10-03 22:00:00 UTC+0000,0.53
2022-10-04 02:00:00 UTC+0000,0.56
2022-10-04 06:00:00 UTC+0000,1.71
2022-10-04 10:00:00 UTC+0000,5.92
2022-10-04 14:00:00 UTC+0000,1.3
2022-10-04 18:00:00 UTC+0000,0.37
2022-10-04 22:00:00 UTC+0000,0.46
2022-10-05 02:00:00 UTC+0000,0.5
2022-10-05 06:00:00 UTC+0000,1.68
2022-10-05 10:00:00 UTC+0000,9.4
2022-10-05 14:00:00 UTC+0000,1.56
2022-10-05 18:00:00 UTC+0000,0.75
2022-10-05 22:00:00 UTC+0000,1.2
2022-10-06 02:00:00 UTC+0000,1.58
2022-10-06 06:00:00 UTC+0000,16.07
2022-10-06 10:00:00 UTC+0000,7.5
2022-10-06 14:00:00 UTC+0000,1.01
2022-10-06 18:00:00 UTC+0000,0.8
2022-10-06 22:00:00 UTC+0000,0.63
2022-10-07 02:00:00 UTC+0000,0.53
2022-10-07 06:00:00 UTC+0000,3.9
2022-10-07 10:00:00 UTC+0000,5.5
2022-10-07 14:00:00 UTC+0000,0.67
2022-10-07 18:00:00 UTC+0000,0.45
2022-10-07 22:00:00 UTC+0000,0.58
2022-10-08 02:00:00 UTC+0000,1.0
2022-10-08 06:00:00 UTC+0000,4.44
2022-10-08 10:00:00 UTC+0000,9.8
2022-10-08 14:00:00 UTC+0000,1.15
2022-10-08 18:00:00 UTC+0000,0.47
2022-10-08 22:00:00 UTC+0000,0.5
2022-10-09 02:00:00 UTC+0000,0.64
2022-10-09 06:00:00 UTC+0000,3.56
2022-10-09 10:00:00 UTC+0000,12.37
2022-10-09 14:00:00 UTC+0000,0.69
2022-10-09 18:00:00 UTC+0000,0.34
2022-10-09 22:00:00 UTC+0000,0.5
2022-10-10 02:00:00 UTC+0000,0.54
2022-10-10 06:00:00 UTC+0000,1.9
2022-10-10 10:00:00 UTC+0000,4.64
2022-10-10 14:00:00 UTC+0000,0.52
2022-10-10 18:00:00 UTC+0000,0.28
2022-10-10 22:00:00 UTC+0000,0.33
2022-10-11 02:00:00 UTC+0000,0.35
2022-10-11 06:00:00 UTC+0000,1.13
2022-10-11 10:00:00 UTC+0000,3.0
2022-10-11 14:00:00 UTC+0000,0.3
2022-10-11 18:00:00 UTC+0000,0.15
2022-10-11 22:00:00 UTC+0000,0.17
2022-10-12 02:00:00 UTC+0000,0.19
2022-10-12 06:00:00 UTC+0000,0.68
2022-10-12 10:00:00 UTC+0000,1.65
2022-10-12 14:00:00 UTC+0000,0.19
2022-10-12 18:00:00 UTC+0000,0.11
2022-10-12 22:00:00 UTC+0000,0.11
2022-10-13 02:00:00 UTC+0000,0.13
2022-10-13 06:00:00 UTC+0000,4.15
2022-10-13 10:00:00 UTC+0000,0.92
2022-10-13 14:00:00 UTC+0000,0.11
2022-10-13 18:00:00 UTC+0000,0.07
2022-10-13 22:00:00 UTC+0000,0.06
2022-10-14 02:00:00 UTC+0000,0.07
2022-10-14 06:00:00 UTC+0000,1.14
2022-10-14 10:00:00 UTC+0000,0.52
2022-10-14 14:00:00 UTC+0000,0.08
2022-10-14 18:00:00 UTC+0000,0.08
2022-10-14 22:00:00 UTC+0000,0.32
2022-10-15 02:00:00 UTC+0000,0.55
2022-10-15 06:00:00 UTC+0000,3.0
2022-10-15 10:00:00 UTC+0000,6.0
2022-10-15 14:00:00 UTC+0000,1.43
2022-10-15 18:00:00 UTC+0000,2.15
2022-10-15 22:00:00 UTC+0000,4.5
2022-10-16 02:00:00 UTC+0000,2.01
2022-10-16 06:00:00 UTC+0000,6.25
2022-10-16 10:00:00 UTC+0000,67.0
2022-10-16 14:00:00 UTC+0000,1.03
2022-10-16 18:00:00 UTC+0000,1.59
2022-10-16 22:00:00 UTC+0000,1.33
2022-10-17 02:00:00 UTC+0000,0.74
2022-10-17 06:00:00 UTC+0000,2.0
2022-10-17 10:00:00 UTC+0000,7.33
2022-10-17 14:00:00 UTC+0000,0.48
2022-10-17 18:00:00 UTC+0000,0.69
2022-10-17 22:00:00 UTC+0000,0.5
2022-10-18 02:00:00 UTC+0000,0.34
2022-10-18 06:00:00 UTC+0000,0.9
2022-10-18 10:00:00 UTC+0000,2.75
2022-10-18 14:00:00 UTC+0000,0.23
2022-10-18 18:00:00 UTC+0000,0.34
2022-10-18 22:00:00 UTC+0000,0.24
2022-10-19 02:00:00 UTC+0000,0.17
2022-10-19 06:00:00 UTC+0000,0.47
2022-10-19 10:00:00 UTC+0000,1.23
2022-10-19 14:00:00 UTC+0000,0.14
2022-10-19 18:00:00 UTC+0000,0.2
2022-10-19 22:00:00 UTC+0000,4.2
2022-10-20 02:00:00 UTC+0000,3.73
2022-10-20 06:00:00 UTC+0000,0.62
2022-10-20 10:00:00 UTC+0000,1.89
2022-10-20 14:00:00 UTC+0000,0.2
2022-10-20 18:00:00 UTC+0000,2.0
2022-10-20 22:00:00 UTC+0000,1.2
2022-10-21 02:00:00 UTC+0000,0.84
2022-10-21 06:00:00 UTC+0000,0.37
2022-10-21 10:00:00 UTC+0000,0.86
2022-10-21 14:00:00 UTC+0000,0.11
2022-10-21 18:00:00 UTC+0000,0.64
2022-10-21 22:00:00 UTC+0000,0.58
2022-10-22 02:00:00 UTC+0000,0.47
2022-10-22 06:00:00 UTC+0000,0.49
2022-10-22 10:00:00 UTC+0000,2.53
2022-10-22 14:00:00 UTC+0000,0.2
2022-10-22 18:00:00 UTC+0000,0.56
2022-10-22 22:00:00 UTC+0000,0.38
2022-10-23 02:00:00 UTC+0000,0.3
2022-10-23 06:00:00 UTC+0000,0.36
2022-10-23 10:00:00 UTC+0000,2.25
2022-10-23 14:00:00 UTC+0000,0.15
2022-10-23 18:00:00 UTC+0000,0.5
2022-10-23 22:00:00 UTC+0000,15.0
2022-10-24 02:00:00 UTC+0000,3.0
2022-10-24 06:00:00 UTC+0000,0.65
2022-10-24 10:00:00 UTC+0000,5.0
2022-10-24 14:00:00 UTC+0000,0.1
2022-10-24 18:00:00 UTC+0000,1.11
2022-10-24 22:00:00 UTC+0000,6.1
2022-10-25 02:00:00 UTC+0000,2.0
2022-10-25 06:00:00 UTC+0000,0.38
2022-10-25 10:00:00 UTC+0000,3.0
2022-10-25 14:00:00 UTC+0000,0.07
2022-10-25 18:00:00 UTC+0000,0.47
2022-10-25 22:00:00 UTC+0000,2.2
2022-10-26 02:00:00 UTC+0000,0.88
2022-10-26 06:00:00 UTC+0000,0.23
2022-10-26 10:00:00 UTC+0000,1.52
2022-10-26 14:00:00 UTC+0000,0.08
2022-10-26 18:00:00 UTC+0000,0.3
2022-10-26 22:00:00 UTC+0000,4.37
2022-10-27 02:00:00 UTC+0000,0.66
2022-10-27 06:00:00 UTC+0000,0.13
2022-10-27 10:00:00 UTC+0000,0.84
2022-10-27 14:00:00 UTC+0000,0.05
2022-10-27 18:00:00 UTC+0000,5.3
2022-10-27 22:00:00 UTC+0000,1.95
2022-10-28 02:00:00 UTC+0000,0.58
2022-10-28 06:00:00 UTC+0000,0.11
2022-10-28 10:00:00 UTC+0000,0.44
2022-10-28 14:00:00 UTC+0000,0.07
2022-10-28 18:00:00 UTC+0000,1.85
2022-10-28 22:00:00 UTC+0000,1.2
2022-10-29 02:00:00 UTC+0000,0.45
2022-10-29 06:00:00 UTC+0000,1.5
2022-10-29 10:00:00 UTC+0000,3.3
2022-10-29 14:00:00 UTC+0000,1.39
2022-10-29 18:00:00 UTC+0000,1.18
2022-10-29 22:00:00 UTC+0000,14.0
2022-10-30 03:00:00 UTC+0000,0.55
2022-10-30 07:00:00 UTC+0000,5.0
2022-10-30 11:00:00 UTC+0000,6.25
2022-10-30 15:00:00 UTC+0000,0.95
2022-10-30 19:00:00 UTC+0000,0.8
2022-10-30 23:00:00 UTC+0000,5.0
2022-10-31 03:00:00 UTC+0000,5.0
2022-10-31 07:00:00 UTC+0000,3.67
2022-10-31 11:00:00 UTC+0000,2.75
2022-10-31 15:00:00 UTC+0000,1.5
2022-10-31 19:00:00 UTC+0000,8.0
2022-10-31 23:00:00 UTC+0000,5.46
2022-11-01 03:00:00 UTC+0000,18.3
2022-11-01 07:00:00 UTC+0000,19.8
2022-11-01 11:00:00 UTC+0000,16.0
2022-11-01 15:00:00 UTC+0000,8.8
2022-11-01 19:00:00 UTC+0000,7.8
2022-11-01 23:00:00 UTC+0000,10.34
2022-11-02 03:00:00 UTC+0000,10.0
2022-11-02 07:00:00 UTC+0000,10.74
2022-11-02 11:00:00 UTC+0000,14.99
2022-11-02 15:00:00 UTC+0000,4.1
2022-11-02 19:00:00 UTC+0000,5.31
2022-11-02 23:00:00 UTC+0000,7.0
2022-11-03 03:00:00 UTC+0000,10.0
2022-11-03 07:00:00 UTC+0000,6.04
2022-11-03 11:00:00 UTC+0000,5.0
2022-11-03 15:00:00 UTC+0000,1.85
2022-11-03 19:00:00 UTC+0000,3.49
2022-11-03 23:00:00 UTC+0000,4.55
2022-11-04 03:00:00 UTC+0000,3.99
2022-11-04 07:00:00 UTC+0000,2.99
2022-11-04 11:00:00 UTC+0000,2.21
2022-11-04 15:00:00 UTC+0000,1.0
2022-11-04 19:00:00 UTC+0000,2.1
2022-11-04 23:00:00 UTC+0000,2.08
2022-11-05 03:00:00 UTC+0000,2.0
2022-11-05 07:00:00 UTC+0000,1.99
2022-11-05 11:00:00 UTC+0000,1.72
2022-11-05 15:00:00 UTC+0000,0.65
2022-11-05 19:00:00 UTC+0000,3.75
2022-11-05 23:00:00 UTC+0000,6.75
2022-11-06 03:00:00 UTC+0000,6.78
2022-11-06 07:00:00 UTC+0000,5.43
2022-11-06 11:00:00 UTC+0000,7.35
2022-11-06 15:00:00 UTC+0000,2.0
2022-11-06 19:00:00 UTC+0000,5.5
2022-11-06 23:00:00 UTC+0000,42.0
2022-11-07 03:00:00 UTC+0000,8.5
2022-11-07 07:00:00 UTC+0000,5.0
2022-11-07 11:00:00 UTC+0000,5.25
2022-11-07 15:00:00 UTC+0000,1.53
2022-11-07 19:00:00 UTC+0000,27.27
2022-11-07 23:00:00 UTC+0000,25.0
2022-11-08 03:00:00 UTC+0000,15.0
2022-11-08 07:00:00 UTC+0000,7.4
2022-11-08 11:00:00 UTC+0000,2.8
2022-11-08 15:00:00 UTC+0000,0.72
2022-11-08 19:00:00 UTC+0000,14.0
2022-11-08 23:00:00 UTC+0000,20.0
2022-11-09 03:00:00 UTC+0000,8.2
2022-11-09 07:00:00 UTC+0000,3.46
2022-11-09 11:00:00 UTC+0000,1.62
2022-11-09 15:00:00 UTC+0000,0.46
2022-11-09 19:00:00 UTC+0000,7.5
2022-11-09 23:00:00 UTC+0000,12.5
2022-11-10 03:00:00 UTC+0000,5.66
2022-11-10 07:00:00 UTC+0000,1.81
2022-11-10 11:00:00 UTC+0000,0.97
2022-11-10 15:00:00 UTC+0000,0.28
2022-11-10 19:00:00 UTC+0000,4.67
2022-11-10 23:00:00 UTC+0000,8.0
2022-11-11 03:00:00 UTC+0000,3.95
2022-11-11 07:00:00 UTC+0000,0.94
2022-11-11 11:00:00 UTC+0000,0.55
2022-11-11 15:00:00 UTC+0000,0.16
2022-11-11 19:00:00 UTC+0000,2.85
2022-11-11 23:00:00 UTC+0000,5.0
2022-11-12 03:00:00 UTC+0000,2.6
2022-11-12 07:00:00 UTC+0000,0.9
2022-11-12 11:00:00 UTC+0000,0.94
2022-11-12 15:00:00 UTC+0000,0.28
2022-11-12 19:00:00 UTC+0000,2.1
2022-11-12 23:00:00 UTC+0000,3.6
2022-11-13 03:00:00 UTC+0000,2.02
2022-11-13 07:00:00 UTC+0000,2.5
2022-11-13 11:00:00 UTC+0000,2.2
2022-11-13 15:00:00 UTC+0000,1.0
2022-11-13 19:00:00 UTC+0000,3.02
2022-11-13 23:00:00 UTC+0000,4.1
2022-11-14 03:00:00 UTC+0000,2.6
2022-11-14 07:00:00 UTC+0000,1.08
2022-11-14 11:00:00 UTC+0000,1.1
2022-11-14 15:00:00 UTC+0000,0.52
2022-11-14 19:00:00 UTC+0000,2.0
2022-11-14 23:00:00 UTC+0000,2.6
2022-11-15 03:00:00 UTC+0000,1.29
2022-11-15 07:00:00 UTC+0000,0.64
2022-11-15 11:00:00 UTC+0000,0.66
2022-11-15 15:00:00 UTC+0000,0.33
2022-11-15 19:00:00 UTC+0000,1.67
2022-11-15 23:00:00 UTC+0000,2.75
2022-11-16 03:00:00 UTC+0000,1.6
2022-11-16 07:00:00 UTC+0000,0.49
2022-11-16 11:00:00 UTC+0000,0.48
2022-11-16 15:00:00 UTC+0000,0.24
2022-11-16 19:00:00 UTC+0000,1.8
2022-11-16 23:00:00 UTC+0000,10.8
2022-11-17 03:00:00 UTC+0000,9.0
2022-11-17 07:00:00 UTC+0000,2.1
2022-11-17 11:00:00 UTC+0000,4.44
2022-11-17 15:00:00 UTC+0000,0.44
2022-11-17 19:00:00 UTC+0000,2.22
2022-11-17 23:00:00 UTC+0000,3.6
2022-11-18 03:00:00 UTC+0000,2.9
2022-11-18 07:00:00 UTC+0000,0.91
2022-11-18 11:00:00 UTC+0000,1.2
