time (UTC),mFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-02-06 19:00:00 UTC+0000,2.4975
2021-02-06 23:00:00 UTC+0000,22.5
2021-02-07 03:00:00 UTC+0000,30.25
2021-02-07 07:00:00 UTC+0000,5.25
2021-02-07 11:00:00 UTC+0000,2.6875
2021-02-07 15:00:00 UTC+0000,1.72
2021-02-07 19:00:00 UTC+0000,2.45
2021-02-07 23:00:00 UTC+0000,4.85
2021-02-08 03:00:00 UTC+0000,5.04
2021-02-08 07:00:00 UTC+0000,1.1475
2021-02-08 11:00:00 UTC+0000,0.795
2021-02-08 15:00:00 UTC+0000,0.55
2021-02-08 19:00:00 UTC+0000,0.6825
2021-02-08 23:00:00 UTC+0000,2.2225
2021-02-09 03:00:00 UTC+0000,1.8825
2021-02-09 07:00:00 UTC+0000,0.455
2021-02-09 11:00:00 UTC+0000,0.4425
2021-02-09 15:00:00 UTC+0000,0.4125
2021-02-09 19:00:00 UTC+0000,0.4325
2021-02-09 23:00:00 UTC+0000,0.87
2021-02-10 03:00:00 UTC+0000,0.9125
2021-02-10 07:00:00 UTC+0000,0.32
2021-02-10 11:00:00 UTC+0000,0.3
2021-02-10 15:00:00 UTC+0000,0.275
2021-02-10 19:00:00 UTC+0000,0.3125
2021-02-10 23:00:00 UTC+0000,0.575
2021-02-11 03:00:00 UTC+0000,0.6025
2021-02-11 07:00:00 UTC+0000,0.2525
2021-02-11 11:00:00 UTC+0000,0.25
2021-02-11 15:00:00 UTC+0000,0.25
2021-02-11 19:00:00 UTC+0000,0.265
2021-02-11 23:00:00 UTC+0000,0.425
2021-02-12 03:00:00 UTC+0000,0.425
2021-02-12 07:00:00 UTC+0000,0.205
2021-02-12 11:00:00 UTC+0000,0.1875
2021-02-12 15:00:00 UTC+0000,0.1875
2021-02-12 19:00:00 UTC+0000,0.1825
2021-02-12 23:00:00 UTC+0000,0.4
2021-02-13 03:00:00 UTC+0000,0.415
2021-02-13 07:00:00 UTC+0000,0.1725
2021-02-13 11:00:00 UTC+0000,0.1725
2021-02-13 15:00:00 UTC+0000,0.1675
2021-02-13 19:00:00 UTC+0000,0.17
2021-02-13 23:00:00 UTC+0000,0.31
2021-02-14 03:00:00 UTC+0000,0.325
2021-02-14 07:00:00 UTC+0000,0.25
2021-02-14 11:00:00 UTC+0000,1.25
2021-02-14 15:00:00 UTC+0000,0.26
2021-02-14 19:00:00 UTC+0000,0.25
2021-02-14 23:00:00 UTC+0000,0.96
2021-02-15 03:00:00 UTC+0000,1.0325
2021-02-15 07:00:00 UTC+0000,0.1575
2021-02-15 11:00:00 UTC+0000,0.4525
2021-02-15 15:00:00 UTC+0000,0.1825
2021-02-15 19:00:00 UTC+0000,0.1725
2021-02-15 23:00:00 UTC+0000,0.6
2021-02-16 03:00:00 UTC+0000,0.67
2021-02-16 07:00:00 UTC+0000,0.1225
2021-02-16 11:00:00 UTC+0000,0.24
2021-02-16 15:00:00 UTC+0000,0.14
2021-02-16 19:00:00 UTC+0000,0.525
2021-02-16 23:00:00 UTC+0000,0.925
2021-02-17 03:00:00 UTC+0000,1.25
2021-02-17 07:00:00 UTC+0000,0.22
2021-02-17 11:00:00 UTC+0000,0.2725
2021-02-17 15:00:00 UTC+0000,0.1825
2021-02-17 19:00:00 UTC+0000,0.3525
2021-02-17 23:00:00 UTC+0000,0.875
2021-02-18 03:00:00 UTC+0000,0.96
2021-02-18 07:00:00 UTC+0000,0.19
2021-02-18 11:00:00 UTC+0000,0.4325
