time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-05 23:00:00 UTC+0000,6.125,3.53,5.645,3.53
2021-02-06 03:00:00 UTC+0000,5.1875,1.125,1.63,1.125
2021-02-06 07:00:00 UTC+0000,1.9375,0.3375,1.2,0.3375
2021-02-06 11:00:00 UTC+0000,2.28,0.325,1.075,0.325
2021-02-06 15:00:00 UTC+0000,2.75,0.3,1.25,0.3
2021-02-06 19:00:00 UTC+0000,5.115,0.39,1.7775,0.39
2021-02-06 23:00:00 UTC+0000,30.005,3.25,6.125,3.25
2021-02-07 03:00:00 UTC+0000,40.0,3.7275,5.1875,3.7275
2021-02-07 07:00:00 UTC+0000,7.55,0.3225,1.9375,0.3225
2021-02-07 11:00:00 UTC+0000,4.445,0.3175,2.28,0.3175
2021-02-07 15:00:00 UTC+0000,3.005,0.3,2.75,0.3
2021-02-07 19:00:00 UTC+0000,4.5,0.4175,5.115,0.4175
2021-02-07 23:00:00 UTC+0000,13.25,5.645,30.005,3.14
2021-02-08 03:00:00 UTC+0000,15.33,1.63,40.0,2.6075
2021-02-08 07:00:00 UTC+0000,3.435,1.2,7.55,0.325
2021-02-08 11:00:00 UTC+0000,2.1875,1.075,4.445,0.3325
2021-02-08 15:00:00 UTC+0000,1.5,1.25,3.005,0.3025
2021-02-08 19:00:00 UTC+0000,2.25,1.7775,4.5,0.36
2021-02-08 23:00:00 UTC+0000,12.6,13.25,13.25,2.825
2021-02-09 03:00:00 UTC+0000,6.9075,15.33,15.33,1.535
2021-02-09 07:00:00 UTC+0000,1.7675,3.435,3.435,0.3
2021-02-09 11:00:00 UTC+0000,1.25,2.1875,2.1875,0.325
2021-02-09 15:00:00 UTC+0000,0.9925,1.5,1.5,0.3
2021-02-09 19:00:00 UTC+0000,1.3625,2.25,2.25,1.57
2021-02-09 23:00:00 UTC+0000,8.1675,12.6,12.6,4.4125
2021-02-10 03:00:00 UTC+0000,4.3425,6.9075,6.9075,1.575
2021-02-10 07:00:00 UTC+0000,1.25,1.7675,1.7675,1.1775
2021-02-10 11:00:00 UTC+0000,1.035,1.25,1.25,1.085
2021-02-10 15:00:00 UTC+0000,0.875,0.9925,0.9925,1.035
2021-02-10 19:00:00 UTC+0000,1.2,1.3625,1.3625,5.0
2021-02-10 23:00:00 UTC+0000,7.34,8.1675,8.1675,10.5875
2021-02-11 03:00:00 UTC+0000,3.1125,4.3425,4.3425,2.4975
2021-02-11 07:00:00 UTC+0000,0.9375,1.25,1.25,0.9775
2021-02-11 11:00:00 UTC+0000,0.8275,1.035,1.035,0.965
2021-02-11 15:00:00 UTC+0000,0.7125,0.875,0.875,0.96
2021-02-11 19:00:00 UTC+0000,0.94,1.2,1.2,2.1675
2021-02-11 23:00:00 UTC+0000,6.5,7.34,7.34,5.645
