time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-16 23:00:00 UTC+0000,2.54,4.0,4.0,5.625
2021-02-17 03:00:00 UTC+0000,8.4275,12.13,12.13,25.2825
2021-02-17 07:00:00 UTC+0000,9.765,14.255,14.255,22.3925
2021-02-17 11:00:00 UTC+0000,3.1125,3.99,3.99,11.8925
2021-02-17 15:00:00 UTC+0000,8.5225,9.0,9.0,21.125
2021-02-17 19:00:00 UTC+0000,27.78,4.2325,4.2325,6.95
2021-02-17 23:00:00 UTC+0000,2.1975,2.54,2.54,4.0
2021-02-18 03:00:00 UTC+0000,6.12,8.4275,8.4275,21.4275
2021-02-18 07:00:00 UTC+0000,8.69,9.765,9.765,27.6425
2021-02-18 11:00:00 UTC+0000,2.6225,3.1125,3.1125,9.75
2021-02-18 15:00:00 UTC+0000,6.5,8.5225,8.5225,28.33
2021-02-18 19:00:00 UTC+0000,6.375,27.78,27.78,6.9275
2021-02-18 23:00:00 UTC+0000,1.59,2.1975,2.1975,3.0825
2021-02-19 03:00:00 UTC+0000,4.825,6.12,6.12,15.5
2021-02-19 07:00:00 UTC+0000,7.5,8.69,8.69,22.455
2021-02-19 11:00:00 UTC+0000,2.25,2.6225,2.6225,7.1875
2021-02-19 15:00:00 UTC+0000,8.0,6.5,6.5,24.25
2021-02-19 19:00:00 UTC+0000,4.6475,6.375,6.375,5.9125
2021-02-19 23:00:00 UTC+0000,1.375,2.5,1.59,2.5
2021-02-20 03:00:00 UTC+0000,3.6875,7.375,4.825,7.375
2021-02-20 07:00:00 UTC+0000,4.75,10.25,7.5,10.25
2021-02-20 11:00:00 UTC+0000,1.75,3.95,2.25,3.95
2021-02-20 15:00:00 UTC+0000,5.25,11.75,8.0,11.75
2021-02-20 19:00:00 UTC+0000,2.5,3.71,4.6475,3.71
2021-02-20 23:00:00 UTC+0000,0.905,1.555,1.375,1.555
2021-02-21 03:00:00 UTC+0000,2.25,4.5,3.6875,4.5
2021-02-21 07:00:00 UTC+0000,3.14,5.4325,4.75,5.4325
2021-02-21 11:00:00 UTC+0000,1.285,2.525,1.75,2.525
2021-02-21 15:00:00 UTC+0000,4.75,7.25,5.25,7.25
2021-02-21 19:00:00 UTC+0000,2.0,3.0,2.5,3.0
2021-02-21 23:00:00 UTC+0000,3.73,1.59,0.905,5.3125
2021-02-22 03:00:00 UTC+0000,13.1075,4.825,2.25,19.0
2021-02-22 07:00:00 UTC+0000,12.7825,7.5,3.14,13.34
2021-02-22 11:00:00 UTC+0000,4.25,2.25,1.285,5.16
2021-02-22 15:00:00 UTC+0000,12.46,8.0,4.75,12.295
2021-02-22 19:00:00 UTC+0000,4.78,4.6475,2.0,5.25
2021-02-22 23:00:00 UTC+0000,2.25,3.73,3.73,4.0
2021-02-23 03:00:00 UTC+0000,8.25,13.1075,13.1075,12.13
2021-02-23 07:00:00 UTC+0000,12.22,12.7825,12.7825,14.255
2021-02-23 11:00:00 UTC+0000,2.75,4.25,4.25,3.99
2021-02-23 15:00:00 UTC+0000,8.3325,12.46,12.46,9.0
2021-02-23 19:00:00 UTC+0000,3.75,4.78,4.78,4.2325
2021-02-23 23:00:00 UTC+0000,1.425,2.25,2.25,2.54
2021-02-24 03:00:00 UTC+0000,5.26,8.25,8.25,8.4275
2021-02-24 07:00:00 UTC+0000,7.125,12.22,12.22,9.765
2021-02-24 11:00:00 UTC+0000,2.19,2.75,2.75,3.1125
2021-02-24 15:00:00 UTC+0000,8.215,8.3325,8.3325,8.5225
2021-02-24 19:00:00 UTC+0000,3.3925,3.75,3.75,27.78
